name,city,website,domain,lead_score,qualification_reason
Wedevelop Web Solutions,,http://wedevelop.ro/,wedevelop.ro,6,Unreachable at fetch time; blurb describes a ~20-person design and development company (since 2019) providing web development expertise.
Inventiff.,,https://inventiff.io/,inventiff.io,6,"Unreachable at fetch time; blurb describes a team of digital strategists, developers and technologists creating custom digital solutions."
Royalsoft,,https://www.royalsoft.eu/,royalsoft.eu,6,"Digital agency doing web/eCommerce, mobile app, web-app and custom ERP development (Magento/WooCommerce), though also offering online marketing services."
InteliStat Solutions,,https://www.intelistat.ro/,intelistat.ro,6,"Develops dedicated custom software and CRM/ERP and cloud solutions for operational workflows, though also offering presentation sites, online shops and maintena"
Altasoft Software Solutions SRL,,https://altasoft-solutions.com/,altasoft-solutions.com,6,"Offers software development, Microsoft Dynamics 365 (Business Central/CRM), IT staff augmentation and cloud/AI, though bundled with web design, SEO and hosting."
Eview Software,,http://www.eview-software.com/,eview-software.com,6,"Software development company (12 years) serving mid/large corporations across Europe and the US, though its copy leans heavily on web design and UI work."
Artep Development,,https://www.artep.eu/,artep.eu,6,"Digital product development agency building native and cross-platform mobile applications and web applications with modern technologies, though creative-agency "
Roman Daniel-Gabriel,,https://romandanielgabriel.ro/en,romandanielgabriel.ro,6,"Senior full-stack developer/technical consultant (9+ years) building custom software, bespoke ERPs and e-commerce architectures, though a solo freelancer."
NoError.ro,,https://www.noerror.ro/,noerror.ro,6,"Builds custom software and enterprise web platforms on a modern stack (Next.js/React/TypeScript) with AI, though positioned around web design, e-commerce and SE"
enovatika,,https://enovatika.com/,enovatika.com,6,"Digital agency designing and developing custom web and mobile apps (front/back-end), though positioned primarily as a UI/UX design agency."
Neo Vision,,https://neovision.dev/,neovision.dev,5,"Unreachable at fetch time; blurb describes a web agency that codes websites and apps, so tentatively relevant on limited evidence."
Vectoora,,https://www.vectoora.com/,vectoora.com,5,"Builds websites, mobile applications and digital platforms, but positioned as a design-led digital agency emphasizing UI/UX and 'readymade' websites."
BIT GROWTH ROMANIA,,https://bit-growth.com/,bit-growth.com,5,"Unreachable at fetch time; blurb describes building scalable, high-performance software (alongside marketing), so tentatively relevant on limited evidence."
Hipwerk,,https://hipwerk.com/,hipwerk.com,5,"Thin site; blurb describes a tech laboratory developing bespoke web solutions with pride in shipped products, so tentatively relevant."
Uptalen,,https://www.uptalen.com/,uptalen.com,5,"Tech staffing/recruitment agency supplying freelance software developers and engineering teams via staff augmentation, rather than building software itself."
GIB Media,,https://gibmedia.ro/,gibmedia.ro,5,"Builds web apps, CRM and mobile apps, but positioned as a web design agency centered on turnkey websites and online shops (since 2010)."
VHCI Business Development,,https://www.vhci-software.com/,vhci-software.com,5,"Unreachable at fetch time; blurb describes a technology company with business know-how translating business problems into solutions, so tentatively relevant."
Digital NINJA,,https://digitalninja.ro/,digitalninja.ro,5,"Unreachable at fetch time; blurb describes a company delivering smart, innovative technology projects for customers, so tentatively relevant on limited evidence"
DevX Digital,,https://devx.digital/,devx.digital,5,"WordPress/WooCommerce engineering partner doing performance rescue, business-system integrations, headless WordPress and AI operations — above generic, but whol"
Roti's Web,,https://rotisweb.ro/,rotisweb.ro,5,"A young web developer's studio delivering modern, secure end-to-end web development and web audits, but essentially a solo web-focused agency."
