rank,band,score,confidence,name,domain,website,seed_lead_score,GOLD_pts,TierA_pts,TierB_pts,TierC_pts,raw_before_caps,caps_applied,pre2024_basis,has_careers_page,jd_chars,public_repo,evidence,why_this_rank
44,Skip,45,Inferred,AROBS,arobs.com,https://arobs.com/,9,25,0,20,20,65,giant_not_acquirable_cap_45,PROVEN — Wayback 2023-06 title 'Custom Software Development Company | AROBS',yes,86471,,"Site: 'BVB Listed Company', 1200+ engineers in 10 countries | Site: proprietary fleet, HR and payroll products deployed CEE-wide | Site: manual and automated testing teams, MiFID II/DORA/GDPR regimes | Site: solution architects, test strategy, DevOps, go-live support","Scores 65 on the rubric — the strongest raw score in the shard — but it is a Bucharest-listed group with 1200+ engineers across ten countries and EBRD backing, which fails the 'not giants' target definition outright. Capped at 45 to keep it out of the calling list; the raw score is preserved if the size rule is ever relaxed. Note also several data-entry and back-office RPA lines on site."
45,Skip,45,Inferred,Digitalya,digitalya.co,https://digitalya.co/,8,25,0,10,10,45,,PROVEN — Wayback 2023-06-01 nav listing MVP/web application development services,yes,6344,,"Site: ISO 27001, ISO 9001 certificate numbers, HIPAA, GDPR | Site 'version control' quotes describe Magnolia CMS content, not code | JD: 6.3k-char careers page with no engineering wording | Site: Agile Scrum/Kanban only; no CI/CD or QA evidence","PROVEN quote is nav text, kept at +25 because the nav itself names software services. Certification-heavy pharma firm but no code-level engineering evidence anywhere."
46,Skip,45,Inferred,FYB Romania,fyb.ro,https://fyb.ro/,7,10,0,35,0,45,,"MISSING: .ro absent from RDAP, no Wayback snapshot — weak +10, no cap",yes,11536,,"JD: 'GIT repository usage' on careers page (jd.quotes) | JD: 'Unit testing experience' required of candidates (jd.quotes) | Site: 'code reviews and security updates' sold as Magento service | Seed: web software developer since 2003, Magento/Symfony","Best JD evidence in this batch — Git and unit testing named in an actual job ad — yet it lands below Secondary purely because the .ro RDAP gap plus no Wayback capture leaves Tier GOLD at the weak +10 instead of +25. That data gap alone costs it 15 points and the band. The site's 'code reviews' line is a service they sell to clients, not an internal gate, so no Tier A. Treat as a de facto Secondary candidate pending a pre-2024 artefact."
47,Skip,45,Inferred,Luminos Software,luminos.software,https://www.luminos.software/,8,10,0,25,10,45,,"Wayback 2022-06-01 snapshot proves the site existed, but the captured text is navigation plus two testimonials with no software wording; downgraded from PROVEN to +10.",,0,,"2022 snapshot quote is nav plus testimonials, no software wording (tier_gold) | Named QA capability: manual and automation testers (site_quotes.sdlc) | Blog 'The DevOps Edge' and 'QA: Unsung Heroes' (site_quotes.qa) | All CTO Playbook posts dated 31 May 2024, batch-published (site_quotes)","Sits five points below Secondary purely because PROVEN was downgraded: the 2022 quote carries no software wording. Its DevOps and QA service lines score normally. The blog was not awarded the Tier A +20 because every post shares one 2024 publication date, marking it as batched content marketing rather than an engineering blog."
48,Skip,45,Inferred,Momentum Software,momentum-software.ro,https://momentum-software.ro/wp/,8,10,0,25,10,45,,"UNKNOWN — .ro absent from RDAP, no Wayback snapshot; MISSING not new, weak +10",,0,,"Site: QA automation engineers use Bamboo and Selenium WebDriver | Site: manual testing, unit tests, bug-fix and feature work | Site: BPM for banking, insurance, energy, government, healthcare | 'WordPress Theme' footer credit only — not a template shop","Lands five points short of Secondary purely on the GOLD gate: a .ro domain has no RDAP record and no snapshot exists, so pre-2024 is missing rather than disproven, and the weak +10 is all it can earn. The Bamboo plus Selenium line is the most specific named-toolchain evidence in the shard after Ketek — a Wayback or registry check would likely lift this into Secondary."
49,Skip,45,Inferred,Qwertee Technology,qwertee.io,https://www.qwertee.io/,8,10,0,25,10,45,,"UNKNOWN — no Wayback snapshot and no RDAP record; missing data, weak +10, no 45 cap",yes,29979,https://github.com/sebrestin; https://github.com/romaintha,"Site: CI/CD pipelines validate code, data, models every commit | Site: GitHub Actions, Azure DevOps named as client stacks | JD: 30k-char careers page, zero Git or review wording | Site: Databricks, MLflow, IaC platform stack detailed","Genuine CI/CD and IaC prose; held down by pre-2024 evidence being missing (no Wayback, no RDAP), not by weak practice."
50,Skip,45,Inferred,Zeren Software,zerensoftware.com,https://zerensoftware.com/,8,25,0,10,10,45,,PROVEN — Wayback 2023-06 'Tailored made software solutions for YOU' advertising copy,yes,8528,,"Wayback 2023: 'Tailored made software solutions' plus delivery models | Site: ISO 9001, ISO 27001, Sistema IAS accreditation | Site: 'How we work — two ways to build', engagement models | Site: enterprise architecture and SAP work for EU clients","Clean pre-2024 proof, real certifications and a documented delivery model, yet it lands five points below Secondary because 8.5k characters of careers text produced no Git, PR or repo-host language and the CI/CD mentions are a capability list with no tools named. Held down by absent JD evidence, not by evident immaturity."
51,Skip,40,Inferred,AlgoTech Solutions,algotech.solutions,https://www.algotech.solutions/,8,10,20,10,0,40,,"DOMAIN_ONLY — domain registered 2015-04-09; proves a name, not shipped software",yes,7937,https://github.com/algotech,Site blog: 'How To Work with Git – The Pros' Way' post | Site: functional manual and automated QA services offered | JD: 8k-char careers page with no Git or review wording | Note: github.com/algotech org found; scores zero here,"Holds the only genuine engineering blog post on Git workflow in this batch (+20), but domain-registration-only dating and a silent careers page keep it in Skip; worth a second look if a pre-2024 case study surfaces."
52,Skip,40,Inferred,Digital Artflow,digitalartflow.com,https://www.digitalartflow.com/,7,25,0,15,0,40,no careers page AND no blog AND no team → cap 40,PROVEN — Wayback 2023-06-01 nav names VR/AR software development and case studies,,0,,"Site: 'Releases are made through a Version Control System' | Site: git repository connects dev/test server to production | Site: founded 2009, agile project management methodology | Site: 'compliance' hits are GDPR cookie-banner text only","Held down purely by having no careers page, blog or team page (cap 40); the site does state git-based release flow, which is better than most here."
53,Skip,40,Inferred,Tooktech,tooktech.com,https://tooktech.com/,7,25,0,15,10,50,"no careers/blog/team cap 40 (binding, 50 to 40)","Wayback 2022-06-01 snapshot title reads 'Web&Mobile Applications, Software Development, Software consultancy | TookTech'.",,0,,"2022 snapshot title names software development and consultancy (tier_gold quote) | 'Early establish and execute an appropriate CI/CD pipeline' (site_quotes.cicd) | Process page names Agile, SCRUM, Kanban, versions and sprints (site_quotes.sdlc) | Architects named in delivery process (site_quotes.owns_product)","Would have reached Secondary at 50 on the strength of the most explicit CI/CD sentence in the batch, but has_no_careers_blog_or_team is true so the cap-at-40 binds and costs it 10 points. The suppression is structural (only the homepage exists) rather than a verdict on its practice."
54,Skip,40,Inferred,XCODES DEVELOPMENT,xcodesdevelopment.com,https://xcodes.com/,8,25,0,15,0,40,no_careers_blog_or_team_cap_40,PROVEN — Wayback 2023-06 tagline 'Building amazing web and mobile apps',,0,https://github.com/xcodesdevelopment; https://github.com/sab,"Wayback 2023 tagline: 'Building amazing web and mobile apps' | Site: 'our tools for continuous integration and continuous deployment' | Site: code 'covered by automated tests, flexible, maintainable' | public_vcs github.com/xcodesdevelopment matches name — scores zero","Same website as the XCODES record below (xcodes.com serves both) — treat as one firm, deduplicate before outreach. The cap at 40 for having no careers page, blog or team binds exactly here. Their GitHub org matches the company name, which under the revised rubric earns nothing and in fact argues some of the codebase is already public."
55,Skip,35,Inferred,Adonis Software,adonissoft.com,https://adonissoft.com/,7,25,0,10,0,35,,PROVEN - Wayback 2023-06-01 homepage title 'Mobile App Development Agency | iOS and Android development Services',yes,26309,,"Wayback 2023: 'Mobile App Development Agency | iOS and Android' | 26,309 JD characters contain no git, CI or review terms | Site: 'QA & testing' named as a service | Clients: US healthcare (Kare Partners), Docbook appointments product","The inverse of most of this pool: it does publish a real careers page, and 26k characters of JD text mention no version control, review gate or CI at all. This one is held down by weak process evidence, not by missing pages, which makes its 35 more meaningful than an equal score elsewhere in the batch."
56,Skip,35,Inferred,AFI OPS TECHNOLOGIES,afiops.com,https://afiops.com/,8,25,0,10,0,35,,PROVEN — Wayback 2023-06 'AFI OPS TECHNOLOGIES - Software development company',,0,,"Site: 'thorough testing, code reviews, and adherence to best practices' | Wayback 2023: title names it a software development company | Site: five-stage Discover, Plan, Develop, Test, Deploy process | No careers page to corroborate the code-review claim","The only firm in this shard whose own site names code review as part of how they work — but it is a single line of marketing copy, not a job description, so I awarded a discounted +10 rather than the careers-scoped +25. With no careers page and only a generic five-stage process page, there is nothing to corroborate it; a JD would settle this quickly."
57,Skip,35,Inferred,BlueSpark Technologies,bluespark.ro,https://bluespark.ro/,8,10,0,25,0,35,no_careers_blog_or_team_cap_40,"UNKNOWN — .ro absent from RDAP, no Wayback snapshot; MISSING not new, weak +10",,0,https://github.com/twbs,"Site: Terraform IaC, Docker and Kubernetes named for deployment | Site: Test Automation as a Service, UI and pipeline testing | No careers page, no blog, no team page (cap 40) | public_vcs_links only twbs (vendor) — scores zero, not theirs","Most concrete DevOps prose in this shard after Ketek — named IaC and orchestration tools, a real test-automation service line. Held down purely by having no careers page, blog or team page and by .ro leaving pre-2024 unprovable, not by weak practice."
58,Skip,35,Inferred,Concept24,concept24online.com,https://www.concept24online.com/,7,25,0,10,0,35,cap_40_no_careers_blog_or_team (not binding),Wayback 20230601 title advertises custom web application development — PROVEN,,0,,"Wayback 2023: 'custom and web application development' title (tier_gold) | Site: 'QA tests the applications during the development process' | Site: 'Implementing the SCRUM methodology for complex projects' | No careers page, no blog, no team page (crawl)","Held down almost entirely by having no careers page, blog or team page — there is no surface on which JD evidence could exist, so Tier A is structurally unavailable. The pre-2024 proof is clean body/title text, and the QA-in-process line is real; a re-crawl finding any hiring page would likely push this into Secondary."
59,Skip,35,Inferred,DX Software,dxsoftware.net,https://www.dxsoftware.net/,8,25,0,10,0,35,no_careers_blog_or_team_cap_40,PROVEN — Wayback 2023-06 copy on dApps and software development team,,0,,"Wayback 2023: 'Software Development... highly-skilled professional team' | Site: Quality Assurance and Testing named as a service | Site: DevOps and Infrastructure to 'simplify the software delivery' | 'How we work' page is a sales funnel, not an SDLC",
60,Skip,35,Inferred,Freshbyte,freshbyteinc.com,https://freshbyteinc.com/,8,10,0,25,0,35,,"UNKNOWN — no Wayback snapshot and no RDAP record; missing data, weak +10, no 45 cap",yes,11867,,"Site: 'Regular code reviews and knowledge sharing sessions' | Site: ISO 9001 and ISO 27001 listed, boilerplate description | Site: sprint planning, stand-ups, retrospectives only process detail | JD: 12k-char careers page with no engineering wording","Claims code reviews on site but the careers page carries none of it, and pre-2024 evidence is missing rather than negative — an undated firm with one unverifiable review claim."
61,Skip,35,Inferred,Hibyte Intelli SRL,hibyte.ro,https://hibyte.ro/homepage/,8,10,0,15,10,35,,EXISTED_NO_SW_WORDING — Wayback 2023-06-01; .ro so RDAP unavailable,yes,24187,,"Site: 'clean pipelines, reliable deployments' DevOps service line | Site: 'Our Promise This is how we work' process page | Site: industrial clients incl. Breuer Nachrichtentechnik GmbH | JD: 24k-char careers page with no VCS or review wording",
62,Skip,35,Inferred,Infobest Romania,infobest.ro,https://www.infobest.ro/,8,25,0,10,0,35,,PROVEN — Wayback 2023-06-01 nav names Software Development and Managed Projects,yes,10362,,"Site: dedicated QA team, full-scale testing on any platform | Site: 'Logical Agile Approach' is the only process detail | JD: 10k-char careers page with no Git or CI/CD wording | Site: no CI/CD, no certifications, no review evidence",
63,Skip,35,Inferred,Kheprix,kheprix.com,https://www.kheprix.com/,8,25,0,10,0,35,"cap 40 - no careers page, blog or team (not binding, raw 35)","PROVEN - Wayback 2023-06-01 homepage title advertises custom software development since 2006; genuine title text, not nav or catalogue",,0,,"Wayback 2023: 'Custom Software Development since 2006' - homepage title | Site about: developer-tester loop until all issues eliminated | Site: agile process, drafts reviewed together, quality-assured results | No careers page anywhere; jd_chars 0","Clean pre-2024 proof and a real developer-tester QA loop, but no careers page, blog or team exists, so no JD evidence could ever be collected. Held down by absent pages, not by weak practice."
64,Skip,35,Inferred,Melonbyte,melonbyte.io,https://melonbyte.io/?src=goodfirms,7,25,0,10,0,35,no careers/blog/team -> cap 40 (not binding),PROVEN: 2023-06-01 page title 'melonbyte - Top European Web Development Agency',,0,,"2023 title advertises web development agency work | Git listed in four client project tech stacks | Ad-platform APIs are client case study, not own services | No careers page, blog or team page","The pre-2024 quote is half icon-sprite junk, but the page title itself is genuine software wording so PROVEN survives. Git appears only as site tech-stack marketing text rather than in a JD, so Tier B is awarded at a discount; the marketing-API work is a delivered client project, not a services bundle, so no agency cap."
65,Skip,35,Inferred,Nearshore Romania,nearshore-romania.com,https://nearshore-romania.com/,8,10,0,25,0,35,,"DOMAIN_ONLY — registered 2010-02-19; name ownership only, weak +10",,0,,"Site: DevOps builds and manages client production infrastructure | Site tech list names Ansible alongside Testing and QA | Site: migrated their own product modules from VB to C# | No careers page; blog, about and team pages reached","This is ROPARDO's outsourcing brand site rather than a separate company — check for a duplicate ROPARDO record before contacting. Despite a 2010 domain and a claimed 1994 founding, no dated artefact or snapshot advertising software exists, so GOLD is held to the weak +10; the DevOps and QA evidence is what carries the score."
66,Skip,33,Inferred,Devstark,devstark.com,https://www.devstark.com/welcome/,7,10,0,10,13,33,,"UNKNOWN — no Wayback snapshot and no RDAP record; MISSING not new, weak +10",yes,6417,https://github.com/devstark-com,"Site tech stack: Playwright and Cypress end-to-end test automation | Site: 'Product Team as a Service', owns SpreadSimple no-code builder | Site: delivery sprints, 'consistently met sprint commitments' | public_vcs github.com/devstark-com matches name — scores zero","The 'pr_practice' signal is a false positive — both quotes describe version control in Figma and Framer, i.e. design tools, not code review, so nothing was awarded for it. All dated blog content is 2026 and the tone is marketing-led; with no snapshot and no registry record, pre-2024 is unproven rather than disproven."
67,Skip,30,Inferred,20Robots Technologies,20robots.tech,https://20robots.tech/,8,10,0,10,10,30,,"Wayback 2023-06-01 snapshot exists but the captured text is a leader's biography describing his personal experience, not firm delivery; downgraded from PROVEN to +10.",,0,,"2023 snapshot quote is a founder biography, not delivery evidence (tier_gold) | HIPAA compliance claimed for medical-record extraction (site_quotes.compliance) | Finance, banking, healthcare and pharma verticals named (site_quotes.enterprise) | No careers page, zero JD characters collected (jd)","PROVEN downgraded to +10 because the pre-2024 quote describes one executive's CV rather than the firm shipping software. The HIPAA point was awarded but is a marketing capability claim, not a certification, and its quote duplicates the enterprise quote. No careers page removes any Tier A route."
68,Skip,30,Inferred,Berg Software,berg-software.com,https://www.berg-software.com/en/,8,10,0,10,10,30,,"DOMAIN_ONLY — .com registered 2017-10-20; name ownership only, weak +10",yes,82158,,"Site: automated high test coverage, unit/integration/regression testing | Site: Fortune 500 enterprise BI and service-delivery case studies | Site: CI, CD and DevOps claimed but no tools named | Site blog quotes AROBS BVB placement funding 'this transaction'","An obviously long-running Timisoara firm with Fortune 500 case studies, but none are dated, so GOLD is stuck at domain-only +10 and the 82k-char careers page yielded no process signals. Also note: its own site carries AROBS acquisition-financing text, so it may already be an AROBS group subsidiary rather than independently acquirable — verify before outreach."
69,Skip,30,Inferred,Deventure,deventure.co,https://www.deventure.co/,8,10,0,10,10,30,,EXISTED_NO_SW_WORDING — Wayback 2020-06-01 snapshot without software wording,yes,19013,,"Site: QA professionals run performance and automated tests pre-deployment | Site: development phase split into sprints; 'Our Process' page | Site: CRM, trading and healthcare apps delivered, dated 2022 posts | JD: 19k-char careers page with no Git or CI/CD wording",
70,Skip,30,Verified,FEEL IT SERVICES,feel-it-services.com,https://feel-it-services.com/,8,25,0,50,0,75,generalist_agency_bundle_cap_30,Wayback 2020-06-01 hero listing SOFTWARE DEVELOPMENT and PRODUCT INNOVATION,yes,70506,,"JD: 'Perform code reviews and provide mentorship to junior QA engineers' | JD: Terraform, Argo CD, GitOps, GitHub Actions, Kubernetes | JD: Selenium, TestNG, JUnit, Cypress, Playwright automation | Site: numbered services include 'MANAGED IT SERVICES' and 'IT Service desk'","Engineering evidence is the strongest in the batch after the Tier A firms - real GitOps/IaC stack and an explicit code-review gate - but development is sold alongside managed IT services, remote support and help desk as headline pillars, which is the generalist bundle the rubric caps at 30. Revisit if the support lines turn out to be a minor revenue slice."
71,Skip,30,Inferred,minic studio,minic.ro,https://minic.ro/,6,10,25,0,0,35,generalist agency: dev bundled with Facebook/Google marketing and branding -> cap 30,EXISTED_NO_SW_WORDING: 2020-06-01 snapshot archived without software wording; weak +10,,0,,"'Bitbucket... integrated Git repositories' as their source control | Named on a tools page, not in any job description | Branding, UX and social-media marketing bundled with dev | 'Manual data entry' hit is a case-study outcome, not BPO","The only firm in this batch naming a private-repo host, but on a tools page rather than a JD, so it takes the one-signal +25 and confidence stays Inferred. The marketing-services bundle caps it at 30, which is what actually decides its placement; the BPO flag was a false positive from a client case study."
72,Skip,30,Inferred,Moonlysoft,moonlysoft.com,https://moonlysoft.com/,8,10,0,10,10,30,,"Archived before 2024 (snapshot 2023-06-01) but the snapshot carried no software wording, so the weak +10 applies.",yes,3577,,"Archived 2023-06-01, snapshot lacked software wording (tier_gold_evidence) | ISO 27001 certified and ISO 9001 stated on site (site_quotes.compliance) | 'How we work' section plus 3,577-char careers page (site_quotes.sdlc, jd) | Seed: agentic AI multi-agent systems in production (seed_reason)",
73,Skip,30,Inferred,QTeam Software Solutions,qteam.solutions,https://qteam.solutions/,8,10,0,10,10,30,,"Domain registered 2016-04-26 (RDAP), matching the claimed 2016 founding; no dated artefact, so weak +10 only.",,1604,,"Domain 2016-04-26 matches claimed founding year (tier_gold) | Blog: 'Why automated testing doesn't replace manual testing' (site_quotes.qa) | Hiring Mid and Senior Quality Assurance Engineers (site_quotes.qa) | Finance, banking, transportation clients named (site_quotes.enterprise)","The three DQ flags are false positives: DQ_agency is social-media-marketing named as a client INDUSTRY, DQ_support and DQ_template are blog prose about AI adoption options. No cap applied. Held down by domain-only GOLD and no reachable careers page, not by weak practice: the QMagazine blog shows genuine QA and tech-stack thinking."
74,Skip,30,Inferred,Royalsoft,royalsoft.eu,https://www.royalsoft.eu/,6,25,0,10,0,35,"generalist-agency cap 30 APPLIED and BINDING - full Online Marketing service line (raw 35); -15 template examined, NOT applied - themes are custom-built, not bought","PROVEN - 2023-06-01 Wayback names four delivered client case studies (Ironclad, Sansha, International Tourism Group, GreenSeas); quote checked and is a real portfolio, not nav filler",yes,24218,,"Wayback 2023 names client case studies: Ironclad, Sansha, GreenSeas | Full Online Marketing line: SEO, PPC, SMM, email, content | JD: 'QA Tester / Intern' - dedicated QA role exists | Careers page 24,218 chars; no VCS host or review gate","The highest score in the batch, and the only one where a cap actually binds. The PROVEN gold quote was checked and survives: it lists four named delivered client projects, which is a genuine pre-2024 portfolio rather than the scraped nav text seen elsewhere in this pool. But the generalist-agency signature is unambiguous - Online Marketing is a first-class service line covering strategy, content, email, SEO, social and PPC - so the 30 cap applies and pulls 35 down to 30. The only process point is a dedicated QA tester role in a JD; 24,218 characters of careers text name no repository host and no review gate."
75,Skip,30,Inferred,Softclaire,softclaire.com,https://www.softclaire.com/,7,10,0,40,0,50,generalist-agency signature (social media marketing + WordPress/landing pages) → cap 30,"DOMAIN_ONLY — domain registered 2019-04-03; proves a name, not shipped software",,0,https://github.com/softclaire,"Site: 'Mandatory code review for every task' | Site: 'CI/CD: Pipelines that prevent errors and deliver incrementally' | Site: continuous testing, QA report with coverage level | Site services list: 'Perfex CRM, Social media marketing' bundled","Best process prose in the batch — mandatory code review, CI/CD pipelines, QA coverage — but capped at 30 by the agency bundle (social media marketing, WordPress landing pages) and it has no careers page. The cap rests on one service-list line, so a human may want to override."
76,Skip,30,Inferred,SoftState Technologies,soft-state.com,https://soft-state.com/,7,10,0,10,10,30,no careers/blog/team cap 40 (non-binding at 30),"No Wayback snapshot and no RDAP record; treated as MISSING, so weak +10 with no cap at 45.",,0,,"No Wayback snapshot, no RDAP record: MISSING not new (tier_gold) | Cypress named in working stack alongside React (site_quotes.qa) | Healthcare specialisation with GDPR handling (site_quotes.enterprise) | Homepage only; no careers, blog or team page (has_no_careers_blog_or_team)","The senior_roles and owns_product hits are both a client testimonial ('VP of Engineering, AtScale Inc.') and were not credited to SoftState. Cypress in the stack is the only genuine test-automation evidence. Pre-2024 status is unverified rather than disproven, so the 45 cap was withheld."
77,Skip,30,Inferred,Tech Stack Apps,techstackapps.com,https://techstackapps.com/,8,10,0,10,10,30,,"DOMAIN_ONLY - registered 2018-11-18; proves name ownership, not software activity",yes,9680,https://github.com/techstackapps,"Site: 'Is Tech Stack Apps HIPAA-compliant? Yes... GDPR-compliant' | Tech-stack page defines Git generically: '45k stars on GitHub for Git' | Careers page 9.7k chars, zero engineering signals | No CI/CD or QA signal recorded anywhere on site","The four vcs and two pr_practice hits look like process evidence but are encyclopedia copy on a tech-stack page - 'Git is a distributed version control system', '80% of software projects use Git' - describing the tool, not their practice, so they scored nothing. Strip that away and a full site plus a careers page leave only HIPAA and healthcare positioning."
78,Skip,28,Inferred,inteliScience,inteliscience.net,https://inteliscience.net/,8,10,0,0,18,28,"BPO cap 20 examined, NOT applied - 'Call Center' is their contact phone label; generalist-agency cap 30 examined, NOT applied - hit is a cookie-consent banner category; -15 template examined, NOT applied - hits are Siemens NX CAD drawing templates","EXISTED_NO_SW_WORDING - 2023-06-01 Wayback snapshot exists but no software wording captured; weak +10, no 45 cap",yes,12620,,"'Call Center' hit is their own contact phone label | Template hits are Siemens NX CAD drawing templates, not websites | Agency hit is a cookie-consent banner category, not a service | Careers page 12,620 chars with no Git, CI or review wording","The strongest firm in this batch on substance and the clearest case of mislabelled flags: all three DQ signals are false positives. 'Call Center' is the label above their own phone number, the marketing hit is a line inside their cookie-consent banner, and the template hits are Siemens NX drawing templates and client CAD naming standards. What is left is deep, niche, hand-written work - NXOpen automation, Teamcenter server customisation, and their own AI document-indexing product with revision-supersedes logic. That earns the full Tier C 18, awarded without Tier A/B corroboration because Tier A is structurally unavailable in this pool. It is held down by two things unrelated to practice: a 2023 snapshot whose captured text happened not to name software, and a 12,620-character careers page that never describes how engineers work. Their pipeline text is a data-indexing pipeline, not CI/CD, so no Tier B was awarded. Worth a manual re-read before discarding."
79,Skip,25,Inferred,ABIT Technologies,abittechnologies.com,https://abittechnologies.com/,8,25,0,0,0,25,"BPO cap examined, not applied - the call-centre quote is AI they build for clients; cap 40 - no careers page, blog or team (not binding, raw 25)","PROVEN - Wayback 2020-06-01, earliest snapshot in this batch: 'Software Services Agency specialized in Web Applications, Custom Software Development and Staff Augmentation'",,0,,"Wayback 2020: 'Software Services Agency... Custom Software Development, Staff Augmentation' | DQ_bpo quote is AI for call centres, not BPO | 'cicd' quote describes AI pipelines, not build pipelines | No careers page; home and about only","The BPO flag is a false positive - they build voice/AI systems for call centres rather than run one - so the cap at 20 was not applied, and the cicd hit is the same AI sentence, not build tooling. Carries the earliest and cleanest pre-2024 proof in the batch (2020) but has no careers page, blog or team to score beyond it."
80,Skip,25,Inferred,Altasoft Software Solutions SRL,altasoft-solutions.com,https://altasoft-solutions.com/,6,25,0,0,0,25,cap_30_generalist_agency (not binding); cap_40_no_careers_blog_team (not binding),"Wayback 2023-06 title: 'AltaSoft Software Solutions', IT team augmentation partner",,0,,"Sells website development, SEO and marketing beside software work | Microsoft Dynamics 365 Business Central and CRM practice | 'Work for Altasoft' link but no careers content collected | No Git, CI/CD, QA or compliance wording found",
81,Skip,25,Inferred,Andrea Software,andreasoft.ro,https://andreasoft.ro/,8,25,0,0,0,25,cap_40_no_careers_blog_or_team (not binding),Wayback 20230601 own service menu naming Software development and Embedded systems,,0,,"Wayback 2023: 'Software development Embedded systems Certifications Workflow' | Site: requirements through software, hardware, mechanical design phases | Site: pushes products through certifications for volume production | No careers page, blog or team page; two pages crawled","The PROVEN quote is largely navigation text, which normally warrants a downgrade, but it is the firm's own service menu naming Software development and Embedded systems alongside a Workflow section, so the full +25 stands — the snapshot does show a software company operating in 2023. Everything above that is unavailable: no careers page, blog or team page means no process evidence could be collected. The DQ_support hits are PCB and hardware design, i.e. genuine embedded product engineering, not IT support, so no generalist cap."
82,Skip,25,Inferred,Appscend,appscend.com,https://appscend.com/,7,25,0,0,0,25,,PROVEN: 2023-06-01 snapshot advertising 'turnkey mobile solutions & custom app development',,0,https://github.com/appscend,"2023 snapshot sells turnkey mobile and custom app development | Public github.com/appscend scores zero by rule | 'Digital marketing mix' hit is a client testimonial | No careers page; no JD, CI or review evidence","Genuine pre-2024 software copy, and the agency flag was testimonial text so no cap applies. Held at gold-only by an absent careers page. Note their framework is public on GitHub, the wrong direction for a never-public codebase."
83,Skip,25,Inferred,Appsmart,appsmart.ro,https://appsmart.ro/,8,25,0,0,0,25,"BPO cap examined, not applied - 'Back Office' is a module in their own product; cap 40 - no careers page, blog or team (not binding, raw 25)",PROVEN - Wayback 2022-06-01: 'We are a software development company with a successful track record of delivered...',,0,,"Wayback 2022: 'software development company with a successful track record' | DQ_bpo hit is 'Back Office' product module name | Vertical products: cinema front/back office, Ophthalmology EMR | No careers page, blog or team","The BPO flag is a false positive - 'Back Office' is a named module inside their own cinema ticketing product - so the cap at 20 was not applied. They appear to own vertical products (cinema, ophthalmology EMR), but with only the homepage reachable and no careers page that positioning had no Tier A/B corroboration to score against."
84,Skip,25,Inferred,BisSoft,bissoft.ro,https://www.bissoft.ro/,7,25,0,0,0,25,no careers/blog/team -> cap 40 (not binding),PROVEN: 2023-06-01 hero copy 'High Performance Software solutions... delivering innovative soft[ware]',,0,,"2023 hero copy sells software delivery, not just nav | Client range from start-ups to Fortune 500 claimed | Agile plus user-centred design delivery blurb | No careers page now, though 2023 nav listed Careers","The pre-2024 quote is real hero copy rather than scraped menu text, so PROVEN stands. Two Tier C proxies co-occur but cannot score without Tier A/B corroboration; the missing careers page is what pins it at gold-only."
85,Skip,25,Inferred,CodinBit,codinbit.com,https://www.codinbit.com/,6,25,0,0,0,25,cap_30_generalist_agency (not binding),Wayback 2022-06 page title: 'Web Development - Web Design Company | CodinBit',yes,3573,,"Self-described full-service web, software, design and branding agency | Capabilities bundle branding, digital strategy, support and hosting | 3,573-char careers page yielded no Git or review signals | DQ_training hits describe GetJobReady, a client coaching platform","One of only two firms here with a real careers page, and 3,573 characters of it produced no private-repo host, no review gate and no Git or CI/CD mention, so both Tier A and Tier B are zero on collected evidence rather than absent evidence. The training flags are client case-study text about a platform they built, so no cap."
86,Skip,25,Inferred,Docodex,docodex.com,https://docodex.com/en/,6,25,0,0,0,25,cap_30_generalist_agency (not binding),Wayback 2023-06 headline: 'Servicii complete de web design & web development',,0,,"Sixteen agency hits: technical SEO, Google Ads, Performance Max, GA4 | Builds SaaS platforms with multi-tenant billing and onboarding | cicd hit reads 'turn your website into a lead pipeline' | Blog and about reached; no careers page exists","The signal counts look strong but none survive inspection: the cicd hit is a marketing 'pipeline of leads' phrase, and the owns_product and sdlc hits are Tier C items that cannot fire without Tier A/B corroboration. Sixteen SEO and Google Ads hits would also cap this at 30 if the score ever reached it."
87,Skip,25,Inferred,FIT Software,fitsoftware.ro,https://www.fitsoftware.ro/,7,25,0,0,0,25,"cap 40 - no careers page, blog or team (not binding, raw 25)",PROVEN - Wayback 2023-06-01: 'WEB APPLICATION DEVELOPMENT We build web applications using a large set of technologies',,0,,"Wayback 2023: 'We build web applications using a large set' | Site: Flutter/Ionic/Xamarin cross-platform mobile work | No careers page, blog or team","Clear pre-2024 web and cross-platform delivery evidence, but with no careers page, blog or team the only scorable item was Tier GOLD. Held down by absent pages rather than by anything the site says about how they work."
88,Skip,25,Inferred,Fortune Soft,fortunesoft.ro,http://www.fortunesoft.ro/,6,25,0,0,0,25,cap_40_no_careers_blog_team (not binding),Wayback 2023-06: case-study section plus 'developed and delivered several solutions',,0,,"2023 snapshot: 'Our Company has developed and delivered several solutions' | Builds VOD systems, news portals, monitoring apps, Smart TV apps | No careers page, no blog, no team page reached | Only homepage reachable; zero process or CI/CD wording","DQ_support flag was mislabelled: 'monitoring applications' is software they build, not a helpdesk, so no BPO cap. Score is gold-only because no careers page exists to test private-repo discipline."
