name,website,description,relevance_status,lead_score,qualification_reason
Qwertee Technology,https://www.qwertee.io/,"Qwertee is a big data analytics company headquartered in Cluj-Napoca (Romania). Founded in 2017, Qwertee's ambition is not only to deliver software to its customers, but rather to provide high-end Research And Development solutions that match the business needs. Our expertise ranges from data engineering and data science to web application development and continuous deployment, ...",RELEVANT,8,"Big-data/ML engineering company doing MLOps, DataOps/lakehouse, data science & GenAI and ML platform IaC plus product measurement/dashboards."
Redbee Software,https://redbeesoftware.com/,"Why Redbee Software? You collaborate with certified developers who stay aligned with the latest technologies and industry standards. We provide flexible and cost-efficient services, full transparency, and engineering excellence across modern web, mobile, cloud, AI, and ERP solutions. Moreover, we are focused on building: Digital products that scale. We transform ideas into real, high-performing digital ...",RELEVANT,8,ISO 9001/27001-certified AWS-partner custom software development firm building web and mobile products with Odoo ERP and certified developers.
OceanoBe Technology,https://oceanobe.com/,"OceanoBe is a software solution company specialized in end-to-end delivery. We operate from Iasi, Romania, and help customers around the globe to create, develop or improve digital products. Here at OceanoBe, you will find a dedicated team of experts ready to design and develop the best software solution for your company. Our expertise expands to: ...",RELEVANT,8,End-to-end software solution company building fintech/banking/payment software with engineering excellence in Java/Angular/React/.NET.
DX Software,https://www.dxsoftware.net/,"DX Software is an international blockchain company with 2 key focuses: education and software development. Currently based in the EU/UK, we deliver consultations about embracing technology to business owners all across the world and act as technical partners for companies that want to discover opportunities and develop a digital approach to their business. We specialise ...",RELEVANT,8,"Blockchain and software development company building dApps/crypto solutions plus web/mobile/desktop software with DevOps, UI/UX and QA."
Hibyte Intelli SRL,https://hibyte.ro/homepage/,"Hibyte is a young and ambitious company founded in 2017. It is the perfect work place for knowledge driven developers and the perfect choice for quality orientated customers. We are developing new and innovative software, but also we are outsourcing for bigger companies. Working with the latest technologies is one of our biggest priorities.",RELEVANT,8,"Engineering team building reliable custom software and AI products for industrial work, with senior engineers owning every decision and outcome."
AFI OPS TECHNOLOGIES,https://www.afiops.com/,"AFI OPS Technologies is a software development company that provides high-quality software solutions, empowering businesses and individuals worldwide to thrive in the digital era. We strive to be a leading force in the software development industry, delivering cutting-edge technologies and exceptional user experiences that drive growth, efficiency, and competitive advantage for our clients. We are ...",RELEVANT,8,"Software development company doing custom software, big data & analytics, cloud (AWS/Azure/GCP), blockchain/Web3 and dedicated teams."
XCODES DEVELOPMENT,https://xcodesdevelopment.com/,"Our purpose is to create unique, creative and quality apps. that are developed upon the latest modern coding and developing techniques, using the most up to date, structured coding frameworks so that our developers can take it to the next level with ease.",RELEVANT,8,"Software studio designing, building and deploying tailored AI-native web, mobile and AI products."
FXBITS,https://fxbits.io/,"We treat your products as our own and enjoy going the extra mile in our desire to build great things together.We believe in honest truth and complete transparency as a way to build meaningful relationships and meaningful work, that are mutually reinforcing each other.Play to be better today than yesterday with a plan to be ...",RELEVANT,8,"IT services firm offering technical audits/due diligence (code, architecture, security, AI readiness) and a five-layer AI software-delivery operating model."
Sensidev,https://sensidev.com/,"Say goodbye to endless spreadsheets, clunky workflows, and painful manual tasks. Sensidev automates your business processes with AI-driven solutions tailored to your needs. Legal Compliance Made Effortless Automate product ingredient compliance checks for EU regulations—from two full-time employees to just 5 minutes a day on our platform. Marketing Reporting Simplified Streamline reporting with a conversational ...",RELEVANT,8,Custom software development company building web/mobile apps and AI-driven automation with dedicated teams from ideation to deployment.
Soluzyapp SRL,https://soluzy.app/,Cutting-edge business software solutions for next-level success. we help you digitize and modernize your operations with custom-tailored software that matches your needs.,RELEVANT,8,"Builds reliable custom business software systems, automation platforms and AI integrations/agents with system integrations for European clients."
XCODES,https://xcodes.com/,"XCODES is a Romania-based custom software development company specializing in web applications, mobile apps, AI-powered solutions, cloud services, and DevOps. Founded in 2018, the company partners with startups, scale-ups, and enterprises to transform innovative ideas into scalable digital products, with a strong focus on delivering user-centric MVPs in as little as three months. XCODES offers ...",RELEVANT,8,"Custom software development company (since 2018) specializing in web apps, mobile apps, AI-powered solutions, cloud services and DevOps."
Algo mediaSOFT SRl,https://algomediasoft.com/,"Algo MediaSOFT is a technology company with over 20 years of experience in the IT sector, specializing in software development, IoT solutions, and integrated automation systems. Our expertise covers the full spectrum of digital transformation, from custom software platforms to smart infrastructure solutions. Key areas of activity: Software Development – including our proprietary platform GoManager, ...",RELEVANT,8,"Technology company (20+ years) doing software development, IoT and integrated automation systems, with its own GoManager operations-management product (web/mobile/blockchain/AI)."
Mevoro,https://mevoro.com/,"Mevoro is a technology-driven company, established in 2012, focused on delivering reliable digital solutions and professional services tailored to modern business needs. Our mission is to help organizations improve efficiency, streamline operations, and achieve sustainable growth through practical, well-designed technology. We specialize in: Custom software and web application development Business process automation and integration Secure ...",RELEVANT,8,"Custom software company (since 2012) building web, AI/ML and IoT/Edge solutions, apps and automation (OCR document processing, smart parking, clinic software)."
DDM,https://ddm.ro/,DDM makes marketing accessible and transparent. We create strong strategies and ideas that allow our partners’ brands to become and remain leaders in their specific field. Our complete and adaptive packages help you transform your business and grow your sales exponentially. Disruption happens here.,IRRELEVANT,2,"A digital/online marketing agency creating brand strategies and campaigns, not a software development company."
Moonlysoft,https://moonlysoft.com/,"Moonlysoft is a technology partner that turns ambitious ideas into production software. Founded in Cluj-Napoca - Romania, we help innovative companies design, build, and ship AI-powered products from first strategy to a system running live and improving with your team. We specialise in three areas. Agentic AI development: multi-agent systems that plan, decide, and act ...",RELEVANT,8,"Technology partner engineering intelligent software — agentic AI (multi-agent systems in production), custom web/mobile product development and managed cloud."
Code Spring,http://www.codespring.ro/,"Codespring is a software development and outsourcing company from Cluj-Napoca, Romania. Codespring provides exquisite services of software development, software outsourcing, software testing, IT Outsourcing, IT Security, customer assistance and mobile development. Codespring offers added value through business process know-how and technical expertise in a number of industries. Codespring's strengths are its 19 year IT&C experience, ...",RELEVANT,8,"Cluj software development and outsourcing company (28+ years) covering the full application lifecycle (BA, architecture, dev, testing, DevOps, CI/CD) plus IoT/industrial software."
SiteMile,https://www.sitemile.com/,"We are a company based in Bucharest, Romania, with customers all over the world in the following main countries: United States, Canada, UK, Australia, France, Germany, New Zealand, South Africa, and many others. We specialise in wordpress themes, wordpress custom websites, web apps, native mobile apps. Our devotion for technology is great and we have ...",IRRELEVANT,4,"A WordPress agency focused on WordPress design/development, WooCommerce and in-house SEO, which the rubric treats as a generic WordPress/SEO shop."
ConturSoft,https://contursoft.com/,"Motivation – Dedication – Vision We build into the future with professional software development services and products. At we’re a passionate team of software developers from Cluj-Napoca, Romania, helping with the development, project management and support of our client’s software products and services. We love solving puzzles, finding best solutions and putting ideas together through ...",RELEVANT,8,"Cluj custom software development company doing custom web/mobile development, eCommerce, cloud services and QA/testing as a software outsourcing partner."
We As Web,https://www.weasweb.com/,"We are a full-stack custom software development agency, building end-to-end solutions for our clients. We offer services that cover the full project lifecycle, from wireframing to product design, development, quality assurance, and project management. We offer services to clients looking to outsource their software development and to clients looking to augment their development team in ...",RELEVANT,8,"Full-stack custom software development firm doing enterprise AI, software engineering and platform modernization for regulated industries with 1200+ engineers."
CANARY TECHNOLOGY INNOVATIONS S.R.L.,https://canarytech.ro/,"We at CanaryTech build and maintain awesome web, mobile and cloud services that we hope make the world a better place. We love using the following technologies: - for mobile apps: ReactNative, Ionic, Swift and Kotlin/Java - for web apps: Angular, React, Javascript, NextJs, PHP - for back-end services: .Net and nodeJs, PHP - for ...",RELEVANT,8,"Builds and maintains web, mobile and cloud services with an AI & HealthTech engineering focus."
TechQuarter,https://techquarter.io/,"We’re a results-driven team of engineering and creative professionals with a knack for innovation and using the latest technologies to help enterprises achieve digital transformation. ​ ​ So far, we’ve built robust systems for players in solar, financial, ecommerce, education and mobility industries.​ What started as a couple of technical teams building fixed-scope projects using ...",RELEVANT,8,"Custom software development company offering dedicated teams, startup development, outsourcing, mobile, AI, DevOps, cybersecurity and cloud."
BlueSpark Technologies,https://bluespark.ro/,"Bluespark Technologies is a Romanian software development company specializing in custom IT solutions, including web applications, scalable microservices, e-commerce platforms, data engineering, machine learning, and cloud cost optimization. We help startups and enterprises grow faster by providing nearshore development teams, staff augmentation, or full product delivery. Our expert engineers, working together for over 10 years, ...",RELEVANT,8,"Romanian software development company building custom web applications, scalable microservices, e-commerce platforms, data engineering and machine learning."
WebGurus,https://webgurus.io/,"Hello, we are WebGurus. We have a deep technical knowledge and high quality creative thinking to bring you outstanding UI/UX Design, WordPress and Web Development services.",IRRELEVANT,4,"Unreachable at fetch time; blurb centers on UI/UX design, WordPress and web development services rather than custom engineering."
Oves Enterprise,https://ovesenterprise.com/,"Our company’s mission is to power the world with intelligent systems, eliminate routine work and free human talent to focus on creating value through innovation. We are a technology company, pioneering innovation in the development and delivery of autonomic and cognitive technologies. From our inception, our founders recognized that automation through digital labor will shape ...",RELEVANT,8,"Global software engineering company providing senior dedicated developer teams for software services, space & defence and cybersecurity."
Graffino,https://graffino.com/,"We’re front-end development experts, partnering with startups and enterprises to create profitable digital products. By combining heavy web development expertise, with a relentless focus on planning and execution processes, we are able to develop unique products quickly, delivering reliable product experiences.Our process will guide you to your best decisions, from refining and expanding your ideas ...",RELEVANT,8,"Software architects building custom software, web platforms/portals/apps, AI & smart automation and financial/compliance tech integrations."
Areus Development,https://www.areusdev.com/,"Areus is all about providing quality software, cutting edge research & development, cybersecurity and advancing artificial intelligence and robotics fields. We serve high level corporate CEOs, CIOs, VPs of IT in bringing to life their technology visions, implementing and enabling a technology sustainable competitive advantages to the overall business, transforming the business through sustainable IT ...",RELEVANT,8,"Delivers custom software development, healthcare tech, cybersecurity, DevOps-as-a-service, cloud, QA/testing, AI & automation engineering and R&D."
Jay Software,https://jay-software.com/,"A mapping of all the flows of the platform is carried out, to analyze and evaluate the complexity and determinate possible solutions that can be given to our problem.Efficiently maintain and continuously improve your digital product to ensure ROI and ongoing value for your customers.Implement the product solutions, optimize your systems and increase the engagement ...",RELEVANT,8,"Software engineering partner building production AI/ML systems, full-stack web platforms and cross-platform mobile apps (React Native/Flutter) end to end."
Manifest Media,https://www.manifest.ro/,"Having an online presence through a presentation website is no longer an optional accessory for a business. It is no longer enough to say that having a responsive website or an online store is an absolute necessity. Now, to make a difference in the market, you need a high-performance, fast, optimized, modern website that optimally ...",IRRELEVANT,4,A website-creation and web development shop focused on presentation websites and site maintenance rather than custom software engineering.
Custom Code Factory,https://www.customcodefactory.com/,"Hard core software development, corporate digital solutions, innovation, software integration, and process automation. We offer end to end software development services in an agile environment, using continuous delivery and continuous integration. We have the technical expertise to handle all stages of software development and deliver scalable solutions that use exclusively open-source technologies. Try for free! ...",RELEVANT,8,"End-to-end agile custom software developer building corporate digital solutions, SaaS products (time-tracking), CRMs, mobile apps, integrations and process automation."
7code,https://7code.ro/,"7code is a nearshore AI engineering agency based in Cluj-Napoca, Romania (founded 2019). We build production AI systems - LLM agents, RAG pipelines, AI process automation - for UK, EU, and UAE companies. Senior-only team (70% senior), 2-4 week allocation, EU GDPR compliant. Our 6-week AI MVP is a defined product for founders who need ...",RELEVANT,8,"Nearshore AI engineering agency building production AI systems (LLM agents, RAG pipelines, process automation) with system integrations and agentic cloud infra."
BitStone SRL,https://bitstone.com/,"BitStone is a leading software development company known for providing comprehensive software development services since 2006. We cover the following market and technology segments: E-commerce, Education, FinTech Extend your business with our dedicated, agile teams, and let us handle the software, while you seize the growth driven by digital innovation. Our experience in these segments ...",RELEVANT,8,"Software development company (since 2006) doing custom software, AI/ML solutions, technical audits, software outsourcing, staff augmentation, DevOps and QA."
Unicore,https://unicore.ro/en/,"We are an internationally recognized company and a trusted partner in digital transformation. With a team of passionate specialists, we transform complexity into clarity and challenges into opportunities, delivering innovative, secure, and scalable software solutions that enable your organization to thrive through technology. We understand the immense digital growth potential of SMEs, as well as ...",RELEVANT,8,"Software development & digitalization firm doing custom software, web & enterprise applications, mobile, AI/ML, RPA, big data, blockchain and cloud/DevOps."
Artificially,https://artificially.io/,"Artificially is a company founded in 2020 in the United Kingdom, specialized in the development of web and mobile solutions, with a focus on AI-based optimizations. In the year of 2023, our company expanded with a subsidiary team in Romania. Our solutions We offer customized ERP, CRM, Booking, E-Commerce solutions, and presentation websites, perfectly customized ...",RELEVANT,8,UK-founded (2020) enterprise software & AI company developing web and mobile solutions with a focus on AI-based optimizations.
CODEMELT,https://codemelt.com/,"Codemelt is a full-stack digital agency, dedicated to transforming innovative digital concepts into tangible solutions. With a core focus on crafting cutting-edge apps and websites, friendly platform interfaces, revolutionary marketing, and pioneering ideas, we are the ideal partners to build your project. Our team's expertise ...",RELEVANT,7,"Full-stack agency building apps, websites and embedded systems on a real engineering stack (Nuxt/Vue/Laravel/Docker/K8s/Next/React/Web3), with QA and audit."
Aquis Grana Impex S.R.L.,https://www.webnou.ro/,"AQUIS grana – a company since 1997AQUIS grana founded in 1997 has been managing networks, websites and web hosting services since the end of 1999.",IRRELEVANT,4,A website-creation and dedicated-hosting/SEO shop (with a real-estate side business); web development is generic rather than custom software engineering.
Digital Artflow,https://www.digitalartflow.com/,"We Help Companies Connect with Customers Using Compelling Custom Built Web Applications We are developing scalable custom web applications that are adapted to the specific needs of your business, by using the latest expertise and technologies. Most of the applications developed by Digital Artflow are ...",RELEVANT,7,"Builds scalable custom web applications, ecommerce and VR/AR software (3D configurators/floor planners) since 2009."
Xsure,https://xsure.io/,"Xsure LTD is a top software development company with offices in the UK, Romania and the USA. We offer full-stack digital solutions for teams or businesses through outsourcing services in Romania. With a +12 years of experience, we provide cost-effective software development services at high ...",RELEVANT,7,Full-stack software development outsourcing firm (UK/Romania/USA) providing dedicated developers across PHP/Java/JS/Angular/Vue/React.
BrainTrust,https://www.braintrust.ro/,"BrainTrust is an independent IT consultancy based in Romania, providing secure, scalable, and cloud-ready technology solutions worldwide. We specialize in cloud infrastructure, cybersecurity, network architecture, DevOps, and custom software development. Our team helps organizations modernize infrastructure, improve security, and accelerate digital transformation through reliable, future-proof IT services.",RELEVANT,7,"IT consultancy specializing in cloud infrastructure, cybersecurity, network architecture, DevOps and custom software development."
TEC,https://wearetec.com/,We create and deliver top-notch software solutions for sports and live events.,RELEVANT,7,"Builds custom software solutions and live-event technology for sports organizations, federations and brands."
Team Extension SA,https://teamextension.ro/,"We are a nearshoring and offshoring technology company based in Bucharest. Our company was founded by a Swiss entrepreneur with more than 10 years of experience in the tech area. Opened in Romania in 2016, our company specializes in hiring dedicated developers as well as ...",RELEVANT,7,"Nearshoring/offshoring technology company providing dedicated developers across mobile, backend, frontend, AI, IoT and cybersecurity."
Adonis Software,http://adonissoft.com/,"We are a young company from Bucharest, Romania. Our team is formed of experts with great experience in programming, especially in smartphone application development. We believe in connecting with our clients, creating a good human relationship above all and offering professional services. We're not only ...",RELEVANT,7,"Full-service iOS/Android mobile app development agency with business analysis, QA/testing and UI/UX design."
mReady,http://www.mready.net/en/,"mReady is the place where great mobile apps are being tailored to fit the exciting visions of both startups and companies. Through our mobile strategy consultancy, design and development services we help our clients reach new horizons in the era of mobile technologies. Our portfolio ...",RELEVANT,7,"Unreachable at fetch time; blurb describes a mobile app development firm offering mobile strategy consultancy, design and development."
IsoSkills,http://www.isoskills.fi/,"IsoSkills is the go-to company for organizations looking to find professional IT development, testing and management services. We are helping organizations to implement and scale their projects with our specialists or develop their vision into viable IT software solutions and services. Growing our services in Nordics, IsoSkills has built the reputation of leveraging new technology ...",RELEVANT,7,"Provides professional custom software development, testing and management services from a Romanian development center (HQ Finland)."
Inteo IT Development,https://inteo.ro/,Inteo builds custom robust software solutions.We conceive and evolve the design of databases so that you can always have access to the information you want.We help you find the best solutions to be prepared when you want to take action.We can extend or integrate with existing software solutions.,RELEVANT,7,"Builds custom, robust software solutions with database design, integration and turnkey cloud software with multi-level access control."
Splashdev,https://www.splashdev.at/,"SplashDev is a Dutch-Austrian technology and solution provider. Our headquarter is in Bucharest, Romania. Besides this, we have delivery centers in Russia and Romania. Most importantly, together with you we select the best location for service delivery team. The Expert Teams build and implement solutions for the Financial (Services) Industry. Above all, our expertise is ...",RELEVANT,7,"Microsoft Dynamics 365 partner providing consulting and software development plus custom D365 solutions (debt collection, insurance, risk management)."
C4studio,https://c4studio.ro/,"We are a development company specialized in providing bespoke software and quality web solutions. Since 2013 we have successfully delivered dozens of projects to our happy customers in 11 countries. Our goal is to help our customer's business grow by offering innovative solutions and providing top quality software. Constant communication, passion and flexibility are the ...",RELEVANT,7,"Development company delivering bespoke software and quality web solutions since 2013 (thin homepage, judged largely on description)."
FIT Software,https://www.fitsoftware.ro/,"In software development the professional quality of the staff is essential. Our company benefits of all prerequisites in order to provide services at highest quality. We can help you develop new projects offering a series of guarantees for the quality of our services, some of them being: • No advance for the services we offer ...",RELEVANT,7,Builds web applications for complex business scenarios and cross-platform mobile apps (Flutter/Ionic/Xamarin).
WebitFactory,https://webitfactory.io/,"WebitFactory offers a comprehensive range of services, including Custom Software Development, Blockchain Services, and AI Services. Here's a detailed look at each: Custom Software Development: We provide specialized solutions for digital transformation. We support businesses in centralizing data, enhancing customer relations, and changing outdated systems, from custom ERP and CRM systems to full e-commerce platforms. ...",RELEVANT,7,Offers custom software development plus blockchain and AI services across many industries with case studies.
SoftwareWatch,https://www.softwarewatch.ro/,"SoftwareWatch is your trusted partner in navigating the ever-evolving landscape of technology and software solutions. Our commitment to excellence is unwavering, and our team of highly skilled engineers is dedicated to providing you with the tools and expertise needed to tackle the most intricate challenges facing your organization. With a wealth of industry knowledge and ...",RELEVANT,7,Provides custom nearshore software solutions spanning the whole software development lifecycle plus software consultancy.
Starbyte,https://starbyte.ro/home,"We are a Romanian Software Development Company providing services for Financial - Banking, Insurance and Risk Management industries. Our main expertise is web-enabled software systems that incorporate features for Information Management, Document Management and Business Process Management.",RELEVANT,7,"Unreachable at fetch time; blurb describes a Romanian software developer building web-enabled systems for banking, insurance and risk management."
Melonbyte,https://melonbyte.io/?src=goodfirms,"Melonbyte is a web development agency based in Bucharest, Romania. As a boutique agency, they are a smaller, more specialized team that focuses on delivering high-quality services with exceptional attention to detail. One of their core values is quality, which means they strive for excellence in every aspect of their work. They also prioritize honesty ...",RELEVANT,7,"Boutique web dev agency building SaaS solutions, custom web development (Laravel/Vue), API integration, automation and mobile/desktop apps."
Ambo Software,https://ambo.ro/,"Ambo Software is an agile software development company that delivers quality code and constant communication during all development phases to small, medium-sized and global companies looking to develop or re-engineer high-performance applications. Ambo Software provides a combination of extraordinary transparency (you can communicate directly with each of the team members working at your project), flexibility ...",RELEVANT,7,Unreachable at fetch time; blurb describes an agile software development company delivering quality code and high-performance applications.
Pro Application Tech,https://proapplicationtech.com/,"Web/Mobile/Cloud specialists - we build next-gen applications for individual clients as well as larger companies. Expert development for cross-browser and cross-device, be it web or native, we plan, build and launch apps ranging from MVP to those with user bases from tens of thousands of users. We have worked with global corporations from the food ...",RELEVANT,7,"Unreachable at fetch time; blurb describes web/mobile/cloud specialists building next-gen cross-browser, cross-device applications."
Adrian Webdesign,https://adrianwebdesign.ro/,"Adrian Webdesign is an independent web design and WordPress development company helping businesses build a strong online presence. I create professional websites, WooCommerce online stores, custom WordPress plugins, and tailored web solutions designed to meet each client's unique requirements. My focus is on modern design, SEO optimization, performance, user experience, and long-term business growth. From ...",IRRELEVANT,4,"An independent web design and WordPress/WooCommerce development shop centered on websites, maintenance and SEO, not custom software engineering."
Kavita Systems,https://kavitasystems.com/,"Product Engineering for Web Platforms That Need to GrowKavita Systems builds digital products where technology needs to support real business operations, not just look good in a presentation. We help teams plan, design, develop, modernize, and support web platforms with clear architecture, usable interfaces, reliable backend logic, and long-term maintainability.Our work connects product strategy, UX/UI ...",RELEVANT,7,"Unreachable at fetch time; blurb describes product engineering for web platforms that support real business operations, so tentatively relevant."
Burzcast,https://burzcast.com/,"Technology should help businesses move forward—not become another problem to manage.Founded in 2014, Burzcast is a boutique European software consultancy specializing in solution architecture, custom software development, artificial intelligence integration, Microsoft Azure, native Apple development, and mission-critical software systems.We work with organizations that view software as a long-term strategic investment rather than a short-term project. ...",RELEVANT,7,"Boutique software consultancy doing custom software, AI & automation and cloud/security with its own products (MirCRM, BurzSync) on macOS/Azure."
Qualysoft,https://www.qualysoft.com/en,"The Qualysoft Group was founded in Vienna in 1999. As an independent IT consultancy and service company, it supports its international customers by providing tailored IT solutions that are both flexible and innovative. In addition to its holding headquarters in Austria, the Qualysoft Group also has sites in Germany, Hungary, as well as locations in ...",RELEVANT,7,"IT consultancy (since 1999) offering consulting and development services, Microsoft cloud/CRM/ERP, test automation, team augmentation and dedicated teams."
Cloud Business Services,https://cloudbusinessservices.com/,"Cloud Business Services is a young and very dynamic company highly specialized in IT Outsourcing, HR Outsourcing, Software Development and Cloud Solutions.",RELEVANT,7,"Specializes in software development, cloud solutions and DevOps alongside IT/HR outsourcing, covering the full software delivery lifecycle."
ICD Web,https://icdweb.eu/,"ICD Web is a development center based in Sibiu, Romania with a highly qualified and flexible team of developers capable of covering over 60 technologies and frameworks. Since 2009, we help organizations all over the world overcome real business challenges by delivering innovative, user-focused web & mobile solutions. We take great pride in our work, ...",RELEVANT,7,"Sibiu development center (since 2009) covering 60+ technologies for custom web solutions, native/cross-platform mobile apps and e-commerce."
PhantomTech,https://phantomtechind.com/,"At PhantomTech Industries, we craft smart, scalable tech solutions tailored to your unique needs, because we believe technology should work for you, not against you. Our team brings over 9 years of hands-on experience to deliver practical, affordable, and future-ready custom software that helps businesses streamline operations and stay ahead. Whether you’re a small business, ...",RELEVANT,7,Digital studio building full-stack web applications (React/Next/Node) and custom ERP systems for scale.
Amgres.com,https://amgres.com/,"We provide exceptional mobile experiences for budget-conscious SMBs. From idea to deployment, we're eager to be part of your company's success story. Our area of expertise is developing mobile apps using Flutter. We leverage the powers of Clean Architecture, modular design and modern UI to deliver code that scales with your business.",RELEVANT,7,"Flutter app development shop building scalable, tested MVPs on clean/modular architecture with Node.js/MariaDB backend APIs."
Creativ Digital Agency,https://creativdigital.ro/,"CreativDigital Agency este o echipă de software engineers, product strategists și specialiști în securitate care lucrează în România pentru branduri locale și internaționale. Suntem hands-on în tot ce livrăm: consultanță tehnică, arhitectură de sistem, dezvoltare software și strategii de growth. Nu suntem doar executanți, suntem parteneri tehnici pe termen lung.",RELEVANT,7,"Team of software engineers/security specialists building custom software, mobile/web apps, AI/ML and pentesting with cloud/DevOps and its own products, alongside SEO/marketing."
Neurony Solutions,https://www.neurony.ro/,"🏆 Top Web Developers Bucharest 2023 🏆 Top Software Developers Romania 2023 🏆 Top IT Services Company Bucharest 2023 🏆 Top PHP Developers Bucharest 2023 🤖 AI Integration Partner for Mid-Market and Enterprise 🌍 Offices in Bucharest, New York and Stockholm Neurony is a global AI integration services and software development company founded in 2004. ...",RELEVANT,7,Award-recognized web/software/PHP development firm and AI integration partner building AI products and value-driven custom development.
ASCENT TECHNOLOGIES,http://ascentech.eu/,"Ascent Technologies is a custom software development company specializing in software product and application development and IT consulting. They strive to improve the efficiency of their client’s businesses by providing them with high-quality software systems and professional websites. Ascent Technologies specializes in website and software development, design, and support. Their team includes highly skilled Web ...",RELEVANT,7,Unreachable at fetch time; blurb describes a custom software development company doing product/application development and IT consulting.
STNS,https://stns-development.com/,"STNS DEVELOPMENT is a software development company that creates custom solutions to help businesses improve efficiency and drive growth. Our experienced team takes a comprehensive approach to every project, considering both technical requirements and overall business goals. Contact us to discuss your software development needs in more detail.",RELEVANT,7,Software development company creating custom solutions with a portfolio of development and UI/UX projects for business efficiency and growth.
Reshape Digital,https://reshapedigital.io/,"Reshape Digital is a software development consultancy based in Romania. We specialize in Digital Transformation and innovation, and help our clients to grow and scale using digital technology. This means we not only bring products to life, but that we have a heavy focus on delivering genuinely impactful business outcomes. We currently work with clients ...",RELEVANT,7,Unreachable at fetch time; blurb describes a software development consultancy specializing in digital transformation and innovation.
Global Mediator,https://www.global-mediator.com/,"Global Mediator transforms business processes with practical solutions within the Microsoft ecosystem, wish a sharp focus on Business Central and allied technologies like Power Platform.We collaborate closely with our customers to build solutions precisely tuned for specific needs, whether it is launching products in AppSource or automating internal processes.During the past 12 years, we have ...",RELEVANT,7,"Microsoft Business Central/Dynamics developer doing custom development, cloud migration, QA and AppSource apps on the Power Platform stack."
Devstark,https://www.devstark.com/welcome/,"⭐️⭐️⭐️⭐️⭐️ Recognised as one of the leading software & AI development firms in the Netherlands, Devstark guides projects to success by applying proven industry best practices. Since 2015: 88 products developed, 8 transnational corporate clients, 12 startups (2 of them are Series C funded). Building digital platforms for top clients that serve Google, Zalando, Canva, ...",RELEVANT,7,Software and AI development firm (Clutch marketplace leader) applying industry best practices with senior talent for its clients.
Devodrome,http://devodrome.com/,"Devodrome is the software development arena where our skillful team (comprised of project managers, account managers, developers, designers, testers) fights to develop and deliver projects on time, on budget and on scope. We know from our experience that the fight is only won when the client is happy with the outcome. Our portfolio (hundreds of ...",RELEVANT,7,"Unreachable at fetch time; blurb describes a full software development team (PMs, developers, designers, testers) building and delivering software."
CoreBuild,http://www.corebuild.eu/,"CoreBuild Software is a Romanian software outsourcing company with a strong customer base both national and international. Our development team consists of experienced and eager developers which enables us to deliver high quality products and to create a professional working environment. Within CoreBuild you will encounter development professionals in .NET, iOS and Android, as well ...",RELEVANT,7,Unreachable at fetch time; blurb describes a Romanian software outsourcing company with an experienced development team serving national and international clients.
Tech Source Consulting SRL,http://techsource.ro/,"Technology Made Simple Our global IT consulting practice helps CIOs and IT leaders design and implement advanced solutions in IT governance, operations, architecture, security, data management, scalability, infrastructure, applications and compliance. We work with your teams closely to align IT strategy and business goals and deploy advanced and customized application and data management structures that ...",IRRELEVANT,4,"Positioned as IT governance/architecture/security advisory, and the live site is a tech-news portal rather than a custom software engineering firm."
Appscend,http://appscend.com/,"Appscend is a technology company founded in 2011 providing mobile development products and solutions as well as custom development services for thousands of developers and organizations around the world. Appscend's product lineup consists of open-source development tools and comprehensive industry solutions for Media ( video, social tv, content) and Enterprises (chat, file management, VOIP)",RELEVANT,7,Unreachable at fetch time; blurb describes a technology company (since 2011) providing mobile development products and custom development services.
Mobile Touch,http://www.mobiletouch.eu/,"Mobile Touch is a software development company specialized in mobile software development with a focus on touch screen based devices. It currently develops projects on iOS (iPhone, iPod touch, iPad), Android and BlackBerry. Mobile Touch was founded in 2008 in Iasi, Romania by Vasile Alaiba and Alexandru Radulescu. It is a Romanian company financed entirely ...",RELEVANT,7,Software company solely focused on building native iOS/Android mobile applications (minimal site but a clear mobile-engineering focus).
Neobyte Solutions,http://www.neobytesolutions.com/,"A web & mobile design agency with vast experience in all types of applications. Founded in 2001, our seniors go way back to the beginnings of the Web. We are passionate about what we do, and work with highly qualified engineers and designers. The processes we're using, that we perfected in all these years, allow ...",RELEVANT,7,"Web & mobile development agency (since 2001) doing custom development, startup development and its own products (custom ERP/OHS software)."
Concept24,https://www.concept24online.com/,"Concept24 is a web development company based in Romania, with over 10 years of experience in Europe, USA and Canada. Our mission is to increase your business using advanced and custom solutions. We like to consider ourselves as being online business developers for our clients. We strongly believe in the power of custom web development. ...",RELEVANT,7,"Web development company (17 years, 500+ projects) building custom business software, web portals, ecommerce and mobile apps for Europe/USA/Canada."
Dream Big Corporation,https://dreambigcorporation.com/,"Do you have an IT project you want to develop? You are in the right place. Dream Big Corporation is a software development company. Our expertise develop mobile apps and create personalised websites, adapted to the client needs. Born from the passion for this industry, Dream Big Corporation gathers full-stack dedicated developers, skilled technical support ...",RELEVANT,7,Unreachable at fetch time; blurb describes a software development company building mobile apps and custom software solutions.
