band,score,confidence,name,city,domain,website,headcount,founder_or_ceo,title,linkedin,founder_confidence,pre2024_status,tier_gold_pts,tier_a_pts,tier_b_pts,tier_c_pts,caps_applied,own_vcs_org,merged_prs,human_authors,first_merge,pages_reached,why,evidence,founder_evidence
Skip,25,Inferred,AUI Systems Private Limited,Delhi,auisys.com,https://auisys.com/nlu/,9,Harpal Parmar,CEO & Co-Founder,,medium,Verified via dated blog post 'Published 14 January 2021',25,0,0,0,,,,,,"/, careers, blog, team, tech-stack","A dated 2021 technical post proves pre-2024 activity, but nothing evidences a reviewed git workflow.","Blog post dated 14 January 2021 on deep-learning systems | Wayback pre-2024 existed but did not mention building software | Careers, blog, team, tech-stack reached; no review/CI/CD language | own_vcs_orgs empty; no npm packages found","""Harpal Parmar CEO & Co-Founder"" repeated on team page"
Skip,25,Inferred,CDM Smith Global Services India LLP,Bengaluru,cdmsmith.com,https://www.cdmsmith.com/en-au,,,,,low,"Pre-2024 site verified, but civil/environmental projects not software",25,0,0,0,,,,,,"/, careers, about",Civil and environmental engineering consultancy rather than a software builder.,"Wayback 2023: water, transportation, energy and facilities projects | signal_counts empty - no engineering-maturity family fired | pages_absent: blog, team, tech-stack | own_vcs_orgs empty; no npm packages found","About-us text refers to ""leadership team"" generically, names no one"
Skip,25,Inferred,CitiusTech Healthcare Technology Pvt Ltd,Mumbai,citiustech.com,https://www.citiustech.com/,,,,,low,"REPAIRED: verified, 20230101 capture shows 'Digital & Product Engineering'",25,0,0,0,Tier C withheld: no Tier A/B corroboration,,,,,"/, careers, blog, about, team","GOLD is verified and the product-engineering story reads substantive, but the bundle holds no Tier A/B artefact to unlock its 23 Tier C points.","20230101 capture advertises Digital and Product Engineering | Decades of product engineering heritage, accelerators, frameworks | No named certification, CI/CD tooling or VCS org | Careers copy says engineering excellence, not code review","""The founders assembled a high-caliber engineering team"" — founders never named"
Skip,25,Inferred,CodeTantra Tech Solutions Private Limited,Hyderabad,codetantra.com,https://www.codetantra.com/,,Ramana Telidevara,Founder & CEO,https://www.linkedin.com/in/ramanatsv,high,verified: pre-2024 capture advertises live programming-course platform,25,0,0,0,Tier C withheld: no Tier A/B corroboration,,,,,"/, about","A verified pre-2024 product platform, but nothing on the site evidences engineering process to build on.","Pre-2024 capture advertises programming courses on own platform | Owns assessment and proctoring platform, long-lived codebase | Team page recovered; no careers or blog found | No VCS, CI/CD, compliance or code-review evidence","""Team Ramana Telidevara, Founder & CEO"" at the LinkedIn link"
Skip,25,Inferred,DataFlow Services (India) Private Limited,Noida,corp.dataflowgroup.com,https://support.dataflowgroup.com/,,,,,low,Verified: 2022 snapshot shows established product and resource estate,25,0,0,0,no careers/blog/team cap 40 (non-binding),,,,,/,Background-verification group with proven pre-2024 presence but no engineering-practice evidence anywhere in the bundle.,"2022 Wayback: case studies, white papers, resource library | Only the support-portal homepage was reachable | has_no_careers_blog_or_team true across fetched pages | own_vcs_orgs empty; no npm packages on domain",Only repeated page title 'The DataFlow Group Support Centre'; no names
Skip,25,Inferred,Dev Accelerator Limited,Ahmedabad,devx.work,https://www.devx.work,,Rushit Shah,Co-founder & Whole-time Director,,high,"Pre-2024 flag true (2023 snapshot), but that page is workspace booking",25,0,0,0,,,,,,"/, careers, blog, about","Coworking-space operator rather than a software firm, with no engineering signals whatsoever.","2023 Wayback: 'Book your workspace' coworking booking flow | Blog written by a content-marketing specialist, not engineers | About: first workspace opened in Ahmedabad, 2017 | own_vcs_orgs empty; no OSS, no tech-stack page",'Our Founders ... Rushit Shah Co-founder & Whole-time Director'
Skip,25,Inferred,Direction Software Solutions,Mumbai,direction.biz,https://www.direction.biz/,,,,,low,Verified: 2023 snapshot advertises application development and outsourced dev,25,0,0,0,Tier C withheld: no Tier A/B corroboration,,,,,"/, careers, blog, about, team, tech-stack","Long-standing dev shop with real delivery history, but BPO-heavy positioning and no code-review, CI/CD or repo evidence.","2023 Wayback: application development & maintenance, outsourced dev | Case studies: WHO Go.Data integration, Dynamics CRM rollouts | Careers page lists SAP Integration Solution Architect vacancy | Blog covers Scrum and low-code, never code review or CI/CD",Services and 'Indo-German management' copy only; no individual named
Skip,25,Inferred,DTCC Enterprise Services India Pvt Ltd,Chennai,dtcc.com,https://www.dtcc.com/,,,,,,verified: pre-2024 capture lists delivered data and clearing services,25,0,0,0,Tier C withheld: no Tier A/B corroboration,,,,,/,"Verified pre-2024 delivered-services portfolio, but the crawl surfaced no engineering-process evidence to score above GOLD.","Pre-2024 capture lists delivered data and clearing services | Careers, blog and team pages recovered; cap-40 lifted | Financial market infrastructure, regulated clients implied | No VCS org, CI/CD or code-review evidence surfaced",
Skip,25,Inferred,First American (India) Pvt Ltd,Bengaluru,firstam.co.in,https://www.firstam.co.in/,,,,,low,Verified: 2023 snapshot states FAI delivers software development,25,0,0,0,Tier C withheld: no Tier A/B corroboration,,,,,"/, careers, about","Captive GCC that genuinely writes software, but shows no code-review or CI/CD evidence and heavy BPO bundling.","2023 Wayback: 'FAI delivers software development, back-office' work | Careers: Technology, BPO and Corporate Services domains | GCC of First American Financial; title and mortgage data | own_vcs_orgs empty; no engineering blog or CI/CD evidence","'Donald Parker Kennedy, grandson of the founder, joined ... in 1948' - history, not current"
Skip,25,Inferred,GreatFour Systems Private Limited,Hyderabad,greatfour.com,https://greatfour.com/,,Pradeep Mittal,CEO,https://www.linkedin.com/in/pradeep-mittal-a66464,high,Verified: 2020 snapshot shows enterprise Harmony platform already shipping,25,0,0,0,Tier C withheld: no Tier A/B corroboration,,,,,"/, blog, about, team","Long-lived pharma product vendor, but with no careers page or process evidence its positioning proxies cannot be counted.","2020 Wayback: Harmony enterprise product already live | Owns pharma products: proofing, labelling, regulatory intelligence | QA mention is a customer testimonial about a product feature | No careers page; own_vcs_orgs empty; no OSS packages",'PRADEEP MITTAL CEO Pradeep is a Serial Entrepreneur' on core-team page
Skip,25,Inferred,HanuAl Private Limited,Delhi,roadathena.com,https://roadathena.com/,1,Prerna Kalra,Co-Founder,https://www.linkedin.com/in/prerna-kalra-2497661,high,Verified: 2020 snapshot advertised own product,25,0,0,0,,,,,,"/, about, team","Real pre-2024 product, but the bundle shows no repo, code-review, CI/CD or hiring evidence, so only the GOLD gate scores.",Wayback 2020 snapshot names 'Our Product' road-anomaly platform | Homepage: platform for road management teams (owns_product) | No careers or blog page fetched (pages_absent) | own_vcs_orgs and npm_packages_on_own_domain both empty,'Leadership Core Team ... PRERNA KALRA Co-Founder' on RoadAtthena team page
Skip,25,Inferred,Kalpatharu Software Limited,Chennai,kalsofte.com,https://kalsofte.com/new/,,T. Mani,Founder,,medium,verified: 2021 capture advertises software development,25,0,0,0,,,,,,"/, blog, about, team","Pre-2024 software delivery is now proven, but the site carries zero engineering-process signal beyond that.","2021 snapshot: 'leading Software Development Company from Coimbatore' | Wayback history back to 2007 | Blog, about and team pages reached; no engineering content | No careers JD, no repo, no CI/CD, no certifications","""Our founder, Mr.T.Mani, started off by making an in-house company"""
Skip,25,Inferred,Kreeti Technologies Private Limited,Kolkata,kreeti.com,https://www.kreeti.com:443/,,,,,,Verified: 2023 snapshot 'custom application development',25,0,0,0,,,,,,"/, careers, team","Verified pre-2024 custom-application shop with a credible stack, but no repo, blog or hiring language evidencing review practice.","2023 snapshot: 'Custom Application Development Company' (wayback) | Homepage: Ruby on Rails, Elixir, Phoenix, ReactJS delivery | Testimonial: five years of agile Rails services for client | Careers page reached but no git/PR/CI/code-review mention",
Skip,25,Inferred,LoudCloud Systems Private Limited,Mumbai,bnedloudcloud.com,https://www.bnedloudcloud.com/,,,,,low,Verified: pre-2020 Wayback advertises software build,25,0,0,0,,,,,,"/, blog, about","Pre-2024 software work is verified, but the site yielded no code-review, CI/CD or careers evidence to build on.","Wayback 2020 snapshot: 'we build software' for colleges/universities | Pages reached: home, blog, about only; no careers or team | No own VCS org or npm packages found | Scraper captured zero engineering signal excerpts",Company history page names no individual
Skip,25,Inferred,Marsh Mclennan (India) Private Limited,Gurugram,mercer.co.in,https://www.mercer.com/en-in/,,Pat Tomlinson,"President & CEO, Mercer",,medium,Verified: pre-2022 Wayback snapshot flagged pre2024 evidence,25,0,0,0,,,,,,"/, careers, blog, about, team, tech-stack","Consulting brand with no engineering-process evidence anywhere on six fetched pages, so Tier C cannot fire.","Wayback 2022 snapshot quote covers benefits data products | Only 'cicd' hit is career-path 'skills pipeline' wording | All six pages reached; no Git, PR or CI/CD mention | Enterprise excerpts are risk/insurance consulting positioning","""Meet our President & CEO, Mercer, Pat Tomlinson"""
Skip,25,Inferred,NCR Corporation India Pvt Ltd,Hyderabad,ncr.com,https://www.ncr.com:443/,,,,,low,Verified: pre-2020 Wayback advertises Aloha and Silver products,25,0,0,0,,,,,,"/, careers, about","Long-standing product firm but the fetched pages carry only marketing copy, giving no Tier A or B process evidence.","Wayback 2020 snapshot names shipped products Aloha and Silver | Homepage: platform, applications and services, plus POS hardware | Careers page reached but no code-review or CI/CD JD text | No blog or team page; no VCS org found",Platform marketing copy only; no person named
Skip,25,Inferred,Pennant Technologies Pvt Ltd,Hyderabad,pennanttech.com,https://www.pennanttech.com/,,,,,low,Verified: pre-2020 Wayback lists Product Engineering service line,25,0,0,0,,,,,,"/, careers, blog, about, team, tech-stack","A real lending-product company with verified pre-2024 history, but six fetched pages produced zero Tier A/B process evidence, so Tier C cannot fire — a manual re-check may be warranted.","Wayback 2020: 'Enterprise Application Integration Product Engineering Consulting' | About: lending platform for banks and NBFCs, own leadership team | All six pages reached yet no Git, PR, CI/CD or QA text | Careers copy stays at 'cutting-edge products', no process detail",Only product/FAQ copy on loan management system; no person named
Skip,25,Inferred,Pragma Edge Software Services Private Limited,Hyderabad,pragmaedge.com,https://pragmaedge.com/,,,,,,Verified: 2023 Wayback portfolio page flagged pre2024 evidence,25,0,0,0,,,,,,"/, blog, about","Pre-2024 delivery portfolio is the only usable signal; nothing on process, CI/CD or hiring.","Wayback 2023 snapshot shows a portfolio-of-projects page | Pages reached: home, blog, about; careers and team absent | Zero signal counts and zero excerpts from live pages | No own VCS org or npm packages found",
Skip,25,Inferred,R S Software (India) Ltd,Kolkata,rssoftware.com,https://www.rssoftware.com/,,,,,low,Verified: pre-2020 Wayback claims two decades of payments software,25,0,0,0,,,,,,"/, careers, blog, about, team, tech-stack","Long payments-software history is verified, but the crawl surfaced no process, hiring or CI/CD evidence to act on.",Wayback 2020: 'software solutions for the world's leading payment brands' | All six pages reached including team and tech-stack | Scraper recorded zero signal counts and zero excerpts | No own VCS org or npm packages on domain,"Only ""Ramadorai, Ex CMD of TCS"" and ""Kalpana Morparia, Ex CEO of J.P."" - other firms"
Skip,25,Inferred,RheinBrucke IT Consulting Pvt Ltd,Chennai,rheincs.com,https://www.rheincs.com/,,,,,low,Verified - 2023 snapshot advertises Epicor ERP case studies and whitepapers,25,0,0,0,ITIL application-support bundling - generalist cap 30 (not binding),,,,,"/, careers, team","Established ERP implementer with verified pre-2024 history but no engineering-process evidence, so Tier C cannot fire.","2023 Wayback quote: Epicor ERP case studies, whitepapers, demos | Careers and team pages reached; no code review or git mentions | cicd hits are data pipelines and CRM 'sales pipeline' prose | Site: ITIL, SLA-based application and production support","Only ""Dr. Joerg Pirron received a Doctor's degree"" - no title at this company"
Skip,25,Inferred,Schlumberger India Technology Centre Pvt Ltd,Pune,slb.com,https://www.slb.com/,,,,,low,Verified - 2023 snapshot shows technology development and case studies,25,0,0,0,,,,,,"/, careers, blog, about, team, tech-stack",Pre-2024 software history is verified but the fetched pages yield no engineering-practice evidence.,"2023 Wayback quote: 'Our Technology Development ... Case Studies' | All six pages reached but zero signals extracted | No own VCS org found in bundle | No CI/CD, QA or code-review language captured",Only navigation and solution copy scraped; no leadership names
Skip,25,Inferred,Smith & Nephew GBS Private Limited,Pune,smith-nephew.com,https://www.smith-nephew.com/en/,,,,,low,Verified flag from 2022 snapshot (medical technology portfolio),25,0,0,0,,,,,,"/, blog, team, tech-stack","Medical device maker whose bundle evidences products, not software engineering practice.","2022 Wayback snapshot flagged as pre-2024 evidence | Careers and about pages were not reached | cicd hit is 'product pipeline' in forward-looking statements | No repo, CI/CD tooling or code-review evidence","Leadership pages returned ""Server Error""; no content"
Skip,25,Inferred,Softprime Consulting Private Limited,Noida,softprimeconsulting.com,https://softprimeconsulting.com/,,,,,low,Verified - 2023 snapshot advertises iOS and Android app development,25,0,0,0,helpdesk/IT-support bundling - generalist cap 30 (not binding),,,,,"/, careers, blog, about",Pre-2024 dev history but a thin templated site with no substantive process evidence.,"2023 Wayback: mobile app development for iOS and Android | Careers page: 'currently no open job opportunities' | Single DevOps CI/CD service line, no tools named | Odoo template site, placeholder phone +1 555-555-5556","Team page says ""Visionary leaders and Odoo-certified experts""; no names"
Skip,25,Inferred,TSL Consulting Private Limited,Pune,tslconsulting.in,https://tslconsulting.in/,,,,,low,"Wayback pre-2023 snapshot verified, but marketing not software",25,0,0,0,generalist-agency cap 30,,,,,"/, careers, blog, team","A B2B demand-generation marketing agency with zero engineering-process evidence, so the generalist-agency cap applies and it is a Skip.","Homepage: outbound, inbound, channel, digital marketing service lines | Blog: SEO, content syndication, landing-page optimization posts | 'cicd' hits are sales-pipeline prose, not build pipelines | No VCS org, no npm package, no engineering JD",Team-page LinkedIn contexts are SVG markup; no name-title pairing
Skip,25,Inferred,Vara Technology Private Limited,Kolkata,varatechnology.com,https://www.varatechnology.com/,,,,,low,2020 Wayback snapshot advertises IoT centre of excellence,25,0,0,0,Tier C void: no Tier A/B corroboration,,,,,"/, careers, blog, about, tech-stack","Pre-2024 software work is credible but every engineering-process signal is missing and the careers page is sales-only, so Tier C cannot fire.","2020 snapshot: 'IoT center of excellence' plus client list | Careers page lists sales and pre-sales solutioning roles only | BFSI, Government, Manufacturing verticals named on homepage | No VCS org, no CI/CD, QA or code-review mention","Names appear only as untitled CMS string keys, no roles attached"
Skip,25,Inferred,Velocity Software Solutions Pvt Ltd,Noida,velsof.com,https://www.velsof.com/,,,,,,2020 snapshot: eCommerce web and mobile app development,25,0,0,0,generalist-agency cap 30,velsof,0,0,,"/, careers, blog, about, tech-stack","Real pre-2024 eCommerce dev shop, but the GitHub org is empty and SEO/marketing bundling triggers the agency cap, so Skip.","own_vcs_org 'velsof' has 0 merged PRs, 0 human authors | 2020 Wayback: eCommerce and mobile app development India | Blog dominated by SEO tooling and site-speed content | Careers page reached; no code review or Git mention",
Skip,25,Inferred,Worldline Global Services Private Limited,Mumbai,worldline.com,https://worldline.com/,,,,,low,"Verified: site since 1998, dated pre-2024 payments milestones on live site",25,0,0,0,"Tier C void: no Tier A/B corroboration; BPO cap-20 considered, not applied (payments tech is core)",,,,,"/, blog, about, team, tech-stack","Decades-old payments technology firm so GOLD is clearly earned, but the pages reached show only positioning and BPO delivery options with no Tier A/B engineering signal to corroborate Tier C.","Wayback first snapshot 1998; dated corporate technology milestones | Ships software licensing and SaaS payment platforms | Open banking tooling; France's first card-transaction contract | No careers page reached, no CI/CD or QA evidence",Corporate history and ATM product copy only; no people named
Skip,25,Inferred,Airamatrix Private Limited,Thane,airamatrix.com,https://www.airamatrix.com/,,Chaith Kondragunta,CEO,https://www.linkedin.com/in/chaithkondragunta,high,2022 snapshot: Nature Portfolio publication and innovation award,25,0,0,0,Tier C void: no Tier A/B corroboration,,,,,"/, careers, about","A credible AI/digital-pathology product firm, but the site carries no CI/CD, QA or repo evidence, so deprioritize rather than exclude.","2022 Wayback shows AI life-sciences product work and award | Homepage: diagnostic, prognostic, predictive tools portfolio | Careers page reached but no code review or Git mention | No blog, no team page, no VCS org, no OSS","alt text ""Chaith Kondragunta, CEO of AIRA Matrix"" beside his LinkedIn"
Skip,25,Inferred,AVA Software Private Limited,Kancheepuram,avasoft.biz,http://www.avasoft.biz,,,,,,Verified: 2017 capture claims 20+ Java applications delivered,25,0,0,0,no careers AND no blog AND no team - cap 40 (non-binding),,,,,/,"GOLD is now proven by a 2017 capture of delivered Java work, but nothing else on the reachable site evidences current engineering process.","2017 Wayback: 'implementing 20+ JAVA Applications for customers' | Wayback first snapshot 2013 | Only homepage reachable; no careers, blog or team | No VCS org, CI/CD, QA or compliance signals",
Skip,25,Inferred,Bitvoice Solutions Private Limited,Kochi,bitvoice.in,https://www.bitvoice.in/,,,,,low,Verified: dated Feb-2023 blog posts plus own communication product,25,0,0,0,"Tier C void: no Tier A/B corroboration; BPO cap-20 considered, not applied (sells software, not a call centre)",,,,,"/, blog, about, team","Dated 2023 posts and a branded telephony product establish pre-2024 activity, but the site shows no engineering-process signal to build on.","Dated blog post 'February 1, 2023' published on own site | Own product: IPPBX, voice logger, call-centre software | Wayback first snapshot 2016 | No CI/CD, QA, compliance or VCS evidence","""comprises of three founding members"" — none of them named"
Skip,25,Inferred,iLeaf Solutions Private Limited,Kochi,ileafsolutions.com,https://www.ileafsolutions.com/,98,,,,low,Verified: 2023 capture advertises web application development,25,0,0,0,Tier C void: no Tier A/B corroboration,,,,,"/, careers, blog, about, team, tech-stack","GOLD is proven and all six pages were reached, but every page yields positioning language only, with no CI/CD, QA, compliance or VCS signal to corroborate the Tier C claims.","2023 Wayback: 'Web Application Development... optimal web solutions' | Wayback first snapshot 2012 | 'Specialize in product engineering, system architecture, integrations' | Blog is marketing/AI content, not code-review or CI/CD","Only unattributed blog line ""I was the co-founder and VP of engineering"""
Skip,25,Inferred,Mindmill Software Limited,Gautam Buddha Nagar,mindmill.com,https://www.mindmill.com,,,,,low,Verified: 2023 capture titled software development company; site since 2001,25,0,0,0,"Tier C void: no Tier A/B corroboration; BPO cap-20 considered, not applied (software is core)",,,,,"/, careers, blog, about, team, tech-stack","A twenty-five-year-old firm with its own core-banking ERP clearly built software pre-2024, but all six pages yielded no CI/CD, QA, compliance or VCS signal, so Tier C has nothing to corroborate it.","2023 Wayback: 'Best Software Development Company In India' | Owns BankMill core-banking ERP product | Wayback first snapshot 2001 | Blog is generic marketing; no CI/CD, QA or compliance",Only product documentation for Institute Management System; no people named
Skip,25,Inferred,SLR Infotech Pvt Ltd,Chandigarh(CH),slrinfotech.org,https://slrinfotech.org/,,,,,,Verified: 2020 snapshot 'SLR Infotech | Software Development Company',25,0,0,0,generalist-agency/training cap 30 (non-binding),,,,,"/, careers, blog, about",Now operates as a training institute with digital marketing courses; only the 2020 software-development snapshot earns points.,"Homepage: 'Leading IT Training Institute' in PHP, Java, digital marketing | Course list: SEO, video editing, web design, Python, React training | Site promises 100% job placement assistance and student reviews | No VCS org, no engineering blog, no CI/CD or QA evidence",
Skip,20,Inferred,Axium Global Private Limited,Mumbai,axiumglobal.com,https://www.axiumglobal.com/,267,,,,low,"REPAIRED 20180324 capture readable, no software language (weak +10)",10,0,10,0,BPO/back-office core business cap 20; generalist-agency cap 30,,,,,"/, careers, blog, about",Engineering-design outsourcing rather than software build; the ISO certifications are the only real signal and the back-office cap binds at 20.,"CAD and MEP engineering design, not software development | ISO 9001:2015 and ISO 27001:2022 certified | Blog: 'Why an Indian Back Office Gives You the Edge' | 3D rendering and branding services bundled in","About-us text mentions ""UK management"" but names no one"
Skip,20,Inferred,Cetark Solutions Private Limited,Mohali,cetark.com,https://www.cetark.com/,,,,,,"pre-2024 capture exists, no software wording (weak +10)",10,0,10,0,managed-IT/SOC core business cap 20,,,,,/,"Managed security operations rather than software build, so the managed-IT cap holds it at 20 despite the certification.","24x7x365 SOC and infrastructure management is core | ISO 27001 certified and GDPR compliant | Careers and team pages recovered; cap-40 lifted | No development, VCS or CI/CD evidence found",
Skip,20,Inferred,Corient Business Solutions Private Limited,Mumbai,corientbs.co.uk,https://corientbs.co.uk,,Sachin Lohade,Co Founder,https://www.linkedin.com/in/sachinlohade1,high,Verified: 2022 snapshot lists own products Xinowa and BillMyTask,25,0,10,13,BPO core-business cap 20; generalist-agency cap 30,,,,,"/, blog, about, team, tech-stack","Accounting-outsourcing BPO with marketing services bundled in, so the disqualifier caps hold it far below the bar.","2022 Wayback: own products Xinowa, BillMyTask listed | Homepage: ISO 27001, GDPR, Cyber Essentials certified | Services: back-office support plus digital marketing/SEO | Blog posts are SEO pricing content, not engineering","""Sachin Lohade Co Founder"" on team page; slug sachinlohade1 matches"
Skip,20,Inferred,Cypros Technologies Private Limited,Bengaluru,cypros.in,https://cypros.in/,,,,,low,Archived pre-2024 but snapshot did not evidence software building,10,0,10,0,tier GOLD cap 45 (non-binding),,,,,"/, about, team",Security-audit and compliance consultancy; certifications score but nothing evidences that it writes software.,"Homepage: ISO 27001:2022, ISO 9001, CERT-In empanelled | Services listed are VAPT, ITGC, SOX, GDPR audits | No careers, blog or tech-stack page reachable | own_vcs_orgs empty; no OSS packages found",Text is services copy only; no person named anywhere
Skip,20,Inferred,Escrownxt Services Private Limited,Chennai,escrowtech.in,https://www.escrownxt.com/,,,,,low,Archived pre-2024 but snapshot did not evidence software building,10,0,10,0,tier GOLD cap 45 (non-binding),,,,,"/, careers, blog, about, tech-stack",Software-escrow custodian rather than a builder; only its certifications contribute any score.,"Homepage: ISO 9001:2015 and ISO 27001:2022 certified | Positions as pure-play software escrow provider, two decades | 'Version control' refers to escrowed client assets | own_vcs_orgs empty; careers page shows no git/PR terms",'The Core Management Team consists of ... Experts' - no names given
Skip,20,Verified,Intelliob Technologies Pvt Ltd,Mumbai,intelliob.com,https://intelliob.com/,,,,,low,"Pre-2024 site, no software mention",10,10,0,0,,,,,,"/, blog, about, team","Firm-branded dev.to and Medium blogs verify a developer-facing culture, but no repo, CI or pre-2024 software artefact backs it up.","Firm-run dev.to/intelliob_technologies developer blog (external_blogs) | medium.com/@dev1.intelliob developer blog also listed | Post topics unverified, so partial Tier A credit only | Pre-2023 snapshot without software mention (wayback)",No individual named anywhere in the scraped product/about copy
Skip,20,Inferred,Kryptos Technologies Private Limited,Chennai,kryptostech.com,https://kryptostech.com/,,Prasanna,Founder & Chairman,https://www.linkedin.com/in/prasanna-r-888088b,medium,Verified: 2022 snapshot showed Azure case studies,25,0,15,10,managed-IT-services core cap 20,,,,,"/, careers, blog, about, team, tech-stack","Genuine CI/CD language and pre-2024 delivery history, but a managed-IT-services core business caps the total at 20.","Homepage: 'Your Trusted MSP for all IT & Business needs' | Cloud page: containers, microservices, continuous integration/delivery | 2022 snapshot shows pre-2024 Azure case studies (wayback) | 36 'compliance' hits are GDPR cookie-banner text, not certifications","""Prasanna (Founder & Chairman) formed kryptos in 2006"""
Skip,20,Inferred,NobleServe Systems Private Limited,Coimbatore,nobleserve.com,https://nobleserve.com/,,,,,low,"Verified: 2023 Wayback mentions mobile, web, software development",25,0,0,0,BPO core business cap 20,,,,,"/, careers, about","Mortgage processing and medical-coding back office is the core business, so the BPO cap of 20 applies despite a software service line.","Homepage services: mortgage originations, title, curative, valuations | Homepage: healthcare coding services and revenue cycle management | IT services is one of three lines beside two back-office lines | Careers and about reached; no Git, CI/CD or code-review text",Mission/vision/values page only; no person named
Skip,20,Inferred,OIP Robotics Private Limited,Hyderabad,oipinsurtech.com,https://www.oipinsurtech.com/,,Bevin Beatovic,Founder Co-Chairwoman,https://www.linkedin.com/in/bevin-beatovic-1a51b96b,high,RED FLAG: domain first archived April 2024,0,0,35,15,"BPO core business cap 20; Tier GOLD cap 45 (2024 first archive, RED FLAG)",,,,,"/, careers, blog, about, tech-stack","Insurance back-office operations with batch entry-level hiring is the core business, and the 2024-only web history argues against pre-LLM-era codebases.","Wayback lookup note: domain first archived 2024 or later, RED FLAG | Careers: batch hiring of Back Office Associates, 3-4 month training | Site: CI/CD pipelines, multi-environment deployments, ISO 27001 and SOC II | Careers FAQ: entry-level back-office roles continuously open","About-us team card: ""Bevin Beatovic Founder Co-Chairwoman"""
Skip,20,Inferred,PRGX India Private Limited,Pune,prgx.com,https://www.prgx.com/,,,,,low,Existed pre-2024 but 2023 snapshot showed no software work,10,0,10,0,Tier GOLD cap 45 (pre-2024 page did not mention software),,,,,"/, careers, blog, about, team, tech-stack","Recovery-audit firm with a certified compliance posture and one platform, but no engineering-process evidence at all.","Footer: 'FSQS Registered ISO 27001 Certified' | Site: Verigon Solution Suite S2P platform for audit and analysis | Lookup note: archived pre-2024 but page did not mention building software | All six pages reached; no Git, PR or CI/CD text","Leadership page text is intro copy only: ""Our leadership team has deep expertise"""
Skip,20,Inferred,Quest Diagnostics HTAS India Private Limited,Hyderabad,questdiagnostics.com,https://www.questdiagnostics.com/,,,,,low,"site live since 1998, 2023 capture had no software wording - weak +10",10,0,10,0,,,,,,"/, careers, blog, about, team, tech-stack","Genuine HIPAA/CLIA compliance earns the change-control points, but only one decorative platform mention exists so Tier C cannot fire.","CLIA-certified labs providing HIPAA-covered services | All six pages reached; content is patient and payer facing | Single decorative 'scalable, agile cloud platform' line | No repo, CI/CD tooling or engineering JD found","Only product pages (Quanum ECM, test menu); no leadership content"
Skip,20,Inferred,Sun Knowledge Pvt Ltd,Kolkata,sunknowledge.com,https://sunknowledge.com/,,,,,low,"Verified - 2023 snapshot lists billing services, products and case studies",25,0,10,13,BPO/KPO core business cap 20,,,,,"/, careers, blog, about, team, tech-stack","Healthcare revenue-cycle outsourcing is the core business, so the BPO cap of 20 applies.","About: 'global provider of Business and Knowledge Process Outsourcing' | Compliance: ISO 27001:2022 certified, HIPAA-compliant processes | Services are billing, data entry, eligibility verification | No repos, CI/CD or code-review evidence on any page","""Meet Our Management Team"" heading only; no individual named"
Skip,20,Inferred,Vinmaya Consultancy Services Private Limited,Bengaluru,vinmaya.com,https://www.vinmaya.com/,,,,,low,"Pre-2023 snapshot verified but shows screening services, not software",25,0,0,0,BPO/verification-services core cap 20,,,,,"/, blog, about","Core business is labour-intensive background verification rather than software engineering, so the BPO-style cap applies and it is a Skip.","Homepage: end-to-end employee background verification services | Snapshot quote: background check, identity check, reference check | 'cicd' hit is a generic support/solutions sentence, false positive | No careers or team page, no VCS org, no CI/CD","""founded by a group of professionals"" — founders unnamed"
Skip,20,Inferred,Phykon Solutions Pvt Ltd,Thiruvananthapuram,phykon.com,https://phykon.com/,,,,,low,Verified: 2023 snapshot shows BPM/workflow automation offering,25,0,0,0,BPO core cap 20; generalist-agency cap 30,,,,,"/, careers, blog, about, team, tech-stack","Core business is call-centre and back-office outsourcing with a digital marketing arm, which triggers the BPO cap of 20.","Services: inbound call centre, back office, order management outsourcing | Careers/services footer lists customer support and technical support lines | Digital marketing sold alongside RPA and contact-centre services | No VCS org, no CI/CD, QA or certification evidence",Order-management product page only; no leadership names present
Skip,15,Inferred,BCE Global Technology Centre Private Limited,Bengaluru,bceglobaltech.com,https://www.bceglobaltech.com/,,,,,,"domain first archived 2024-11-11 — genuine absence, 0 and cap 45",0,0,15,0,no pre-2024 evidence cap 45 (non-binding),,,,,/,"Substantive named cloud and DevOps tooling earns Tier B, but the first capture is late 2024 so GOLD is genuinely absent.","GKE, Cloud Run, AKS, Azure Functions named in stack | DevOps Engineer and Cloud Engineer roles advertised | Domain first archived November 2024 — red flag | Careers, blog and team pages recovered; cap-40 lifted",
Skip,10,Inferred,Access Healthcare Services Pvt Ltd,Chennai,accesshealthcare.co,https://www.accesshealthcare.co/,10219,,,,low,"pre-2024 capture exists, no software wording (weak +10)",10,0,0,0,BPO/revenue-cycle core business cap 20 (non-binding),,,,,/,"Healthcare revenue-cycle BPO with a proven pre-2024 site but zero engineering-practice evidence, so only the weak GOLD point applies.","Revenue cycle management toolkit is the core offering | Careers, blog and team pages recovered; cap-40 lifted | Pre-2024 archive exists but no software-build language | No VCS org, CI/CD, certification or code-review evidence",All team/leadership pages returned 404; no names scraped
